Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_7a9c1-b8edb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad556-3f953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a1959-12ddc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3c906-5823c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_720fe-f0946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3625f-0a7fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_580fa-b0db4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f857e-089f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c65a0-d89bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_993d4-8ecb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ff09-33987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8718f-a0dee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_228af-095d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_90019-1ecd4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_895fb-d569d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5faec-2c0c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c5366-109d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a2498-804a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c7600-96bfb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d0b75-7b877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
