Merge,Parent1,Parent2,Date
8cedc87625a0dfea2f77e5fee510f692a0d05630,7a9c145,b8edbc6,Wed Aug 14 00:00:00 GMT-03:00 2013
fa3d2ea9666fdb5570b41089092ad8f2d27a0869,ad556fd,3f9534f,Mon Sep 09 00:00:00 GMT-03:00 2013
3c906ecc65d69c339ec40b94d55fcbdc1d85f597,a19594a,12ddc1c,Tue Nov 05 00:00:00 GMT-03:00 2013
9787761d211075366d641470bc83e6fe601643c2,3c906ec,5823c6a,Sat Dec 28 00:00:00 GMT-03:00 2013
0d107c5448d06e6b5da02cc659112b50cb1b5ce3,720fe0f,f094619,Tue Apr 01 00:00:00 GMT-03:00 2014
c03b87f1e7d647f6007bfc43838bc4770562fe12,3625f56,0a7fabc,Sun May 18 00:00:00 GMT-03:00 2014
f857ea5019c655c5ed0f6b9142fb12d4dd96f733,580fa37,b0db420,Tue May 20 00:00:00 GMT-03:00 2014
c65a023bb64e92c8918c7976a48028a8e9192193,f857ea5,089f769,Tue May 20 00:00:00 GMT-03:00 2014
993d4e812ed393c2308dd704ac932b53d735e1c3,c65a023,d89bc35,Fri May 23 00:00:00 GMT-03:00 2014
4ff09ab533ee9a5c319226ea72de63543b3821fc,993d4e8,8ecb6cb,Tue Jun 03 00:00:00 GMT-03:00 2014
8718f0f29b76decd4243fb2665259cac2ea540f2,4ff09ab,33987ed,Wed Jun 11 00:00:00 GMT-03:00 2014
2b8c31a6b21e881eb1c514d61f6e13418fcd9e1e,8718f0f,a0dee74,Wed Jun 11 00:00:00 GMT-03:00 2014
1ecd428c8e2e5b0d1b8f221e9bf9e82429bd73bb,228af35,095d7f6,Tue Jul 08 00:00:00 GMT-03:00 2014
3325b80f79c0e26841c522c5ca0e153800e2dcc2,90019e1,1ecd428,Tue Jul 08 00:00:00 GMT-03:00 2014
5faec884404a4a3647421e99790765c43634ccff,895fb2d,d569d4c,Mon Oct 13 00:00:00 GMT-03:00 2014
c5366c6963d94e0adc99cbb096143ec582f25d1c,5faec88,2c0c329,Mon Oct 13 00:00:00 GMT-03:00 2014
ec8814e95db0f5d611aef3d1feb40d85749f1eb5,c5366c6,109d684,Mon Oct 13 00:00:00 GMT-03:00 2014
c7600eb5aacdf011e31428a29dbc7e851bb52f84,a249882,804a4f6,Mon Oct 13 00:00:00 GMT-03:00 2014
d0b75592f748a7e994d7df9cd53f9e0e97556118,c7600eb,96bfb8f,Mon Oct 13 00:00:00 GMT-03:00 2014
ffe3b1169d49af12b10b2dbff9ee913501ffc8a8,d0b7559,7b877e1,Tue Oct 14 00:00:00 GMT-03:00 2014
efa7928477b27ee5a47a7501e037607f575ae983,ef4a922,ffe3b11,Sun Nov 02 00:00:00 GMT-03:00 2014
8621d65ff0fc64a73b43ca5e5601c249401eeadc,efa7928,a882415,Thu Nov 13 00:00:00 GMT-03:00 2014
2f578411a6a85950c5ba40fb204f8e0119b08a17,631e1a5,e128605,Wed Nov 19 00:00:00 GMT-03:00 2014
e12ed526b3a33e90e7e55917635b9e1aa7601eb0,2f57841,25d3a4a,Mon Dec 08 00:00:00 GMT-03:00 2014
d869e4d9d3f673191aecdf571a1cd5ad83eaf4a2,e12ed52,c052b56,Mon Dec 08 00:00:00 GMT-03:00 2014
624528fa96a902efe55538e83e9ba0ccf2d60aca,37b9df8,8bb9223,Mon Dec 08 00:00:00 GMT-03:00 2014
b1bf5f1db2c52ee9cb1b3c8198c378b7e8317411,e988cd3,3100559,Mon Feb 16 00:00:00 GMT-03:00 2015
e5a4e28043c04881bd8289db41172860fd8940f9,b1bf5f1,f27bd30,Thu Mar 12 00:00:00 GMT-03:00 2015
b7543f93407ec228d46cfa88bae9ed3966d8740d,e5a4e28,8dcf297,Fri Mar 13 00:00:00 GMT-03:00 2015
383b68c3d677219ef2845f03b7c030372785b88f,b7543f9,7163b68,Wed Mar 25 00:00:00 GMT-03:00 2015
75397859e33d3047e4f6a0243f3d240d5f848317,383b68c,0305785,Thu Mar 26 00:00:00 GMT-03:00 2015
999b82b7858b3a3837bc15c831e967a1c16b35c6,7539785,79b7091,Wed Apr 08 00:00:00 GMT-03:00 2015
c4da5cad19b5cd05a0bb2004555920c453c004ed,999b82b,521f7e2,Wed Apr 08 00:00:00 GMT-03:00 2015
8e4284cdd02ef7777a3cbcc629f12b1e6396faf8,3b2ac4e,b397f98,Wed Apr 29 00:00:00 GMT-03:00 2015
f94a2bd4154dcda42fd67bc706a759c80c2a64e9,8e4284c,b621367,Tue May 12 00:00:00 GMT-03:00 2015
5e183332a2b897bcf233ab1b8fcc9d6c59a8a60b,d46ce5d,f762bd6,Tue May 12 00:00:00 GMT-03:00 2015
6676d5735a3ec53a022bc37af79adebccbfb7a5b,9299d98,75c2eb2,Tue May 12 00:00:00 GMT-03:00 2015
8fccc5e263d5a4825b389af334575aa1fb63974e,4a2bd82,63736a9,Wed May 13 00:00:00 GMT-03:00 2015
625fb6fb313f78301c709350cb05cc7ece0b4fe4,63736a9,bcc05c7,Thu May 14 00:00:00 GMT-03:00 2015
ae4a19a6782c0a3837d374a3bbd5a657830603f7,b71eb61,625fb6f,Thu May 14 00:00:00 GMT-03:00 2015
3810603d8a0b9aecb363208b7efbc795c3d031c1,faa4146,4a16e0c,Thu May 14 00:00:00 GMT-03:00 2015
20d055c64b91c5f983c4313200b4686ce3f74825,faa4146,a12f27c,Fri May 15 00:00:00 GMT-03:00 2015
931ccad0e626a5d0e177d46ff7314602026ee373,20d055c,69bec6f,Fri May 15 00:00:00 GMT-03:00 2015
64813aeea53700cda5bc6b176d3c4f5a0e54b24e,931ccad,f10a74e,Fri May 15 00:00:00 GMT-03:00 2015
fbb81659e3f47eb91ec50f9541e6412942752df9,04cb67d,610988f,Thu Aug 06 00:00:00 GMT-03:00 2015
77c9390d0f6af79a8c39a20dad97fdadf0c36a02,607f384,abad05e,Thu Aug 06 00:00:00 GMT-03:00 2015
da1d18ab4ec557bfeeee67c616361effe3d9c3c0,77c9390,755df4e,Thu Aug 06 00:00:00 GMT-03:00 2015
65833aa367d97d29fdd3ab11e768cc412d3c3922,da1d18a,f9ac155,Wed Aug 12 00:00:00 GMT-03:00 2015
acf84e4f6170c7310c57ef5c6353ff267376dd43,99c4645,fc9d084,Sat Aug 15 00:00:00 GMT-03:00 2015
19c62b9dbedaef3655e3f92ca49cfd307298db51,acf84e4,cc8f707,Sat Aug 15 00:00:00 GMT-03:00 2015
2886a03194f63465d8df18d7d6c9d82e07f82085,c6dcf8a,5359a52,Sat Aug 15 00:00:00 GMT-03:00 2015
0eb0130f6c75a83a652dfd07a69ee06ef431b468,c6dcf8a,2886a03,Sat Aug 15 00:00:00 GMT-03:00 2015
2982ac5f8e3c0fb6034f1b4216c4cfe1f2fe7459,0eb0130,2dc8203,Sat Aug 15 00:00:00 GMT-03:00 2015
42168798f459dc138fb9ca2c7a2a1f6d2696a046,0eb3874,9b6c2f3,Sat Aug 15 00:00:00 GMT-03:00 2015
d82881f845c8e678e1159e19b13aa13204bfd294,547454f,eec4896,Sat Aug 15 00:00:00 GMT-03:00 2015
4f64ce71d8eec6fdd251fd4a4ae55c02896156d9,35eda14,2a6b338,Mon Aug 24 00:00:00 GMT-03:00 2015
cbfbe91a8bfb33091f8e94c17c03b6c9c4c61954,2a6b338,5af5a3b,Thu Sep 03 00:00:00 GMT-03:00 2015
ce312cbadd3d6c42bb9cee59ec96033d82680458,cbfbe91,fe0ef12,Thu Sep 03 00:00:00 GMT-03:00 2015
95d3db9a257945c7aca0d06b0dee7e0c3c3a3abb,6bb93e5,4f64ce7,Sun Sep 06 00:00:00 GMT-03:00 2015
54b65748758a77ed57685c7e838e40b7d140f9e4,6bb93e5,95d3db9,Sun Sep 06 00:00:00 GMT-03:00 2015
ded78b7fa9b78749c0d5f6776bba9c9cd3cfb6fb,83f98bd,24963c4,Fri Sep 25 00:00:00 GMT-03:00 2015
efa37625d75b2281f1dabbd2e20a7ca2716adb2b,ded78b7,67ec883,Wed Sep 30 00:00:00 GMT-03:00 2015
6530f528fc697d3b751f3974628faa4e10882460,dc40b3b,5b071ee,Mon Oct 19 00:00:00 GMT-03:00 2015
dd990dde15c92a1c6b3bc8852047cfb55b0cd03d,6530f52,b75ae9f,Mon Oct 19 00:00:00 GMT-03:00 2015
0eed907eaf9cc6b6b894b35ed046cafd95637f53,dd990dd,0f3bf35,Mon Oct 19 00:00:00 GMT-03:00 2015
4558b5e740b1755c2f8a38d77718beb9392775b3,0eed907,2f17e4f,Mon Oct 19 00:00:00 GMT-03:00 2015
ce977d0ce6bfde04f36c0376b84ca7d9673a39e0,4558b5e,1029114,Tue Nov 10 00:00:00 GMT-03:00 2015
e13efa33a4e0c41cf8bfc19c16600c3b6327857d,e2c7a06,1853c63,Mon Nov 23 00:00:00 GMT-03:00 2015
95e4c74b9add0a315b7611494f2557df966bb681,e13efa3,71775a8,Mon Nov 23 00:00:00 GMT-03:00 2015
212fc631ed4e1e1a0751eef7dafdf5779c3649f1,2eb8324,e7b3001,Tue Nov 24 00:00:00 GMT-03:00 2015
0a1689bc1a111f7717bc5ca2bfaf8a56c455eac3,212fc63,2c5cbbe,Wed Nov 25 00:00:00 GMT-03:00 2015
cb7907820ebd6c822268ed1670c8c2e92b0372e5,e5f4df8,5c7b2db,Wed Nov 25 00:00:00 GMT-03:00 2015
7f9cb18c089856d4948ff0cccad58246c5871395,9ea3b80,666e88e,Thu Dec 31 00:00:00 GMT-03:00 2015
daebae5c83a51688a46500d9f2f0cfd77f3cf7d4,cb79078,983c9f5,Fri Jan 01 00:00:00 GMT-03:00 2016
bdcbbeed44b49ce1ecf54441c04930c4003b9d75,cb79078,c20f296,Sat Jan 02 00:00:00 GMT-03:00 2016
2bc502f1766c215df2a3326137b070396437f1eb,cb79078,bd5f16a,Sat Jan 02 00:00:00 GMT-03:00 2016
105412ad89e802f63938032e884d09953bda677a,cb79078,89a0f05,Sat Jan 02 00:00:00 GMT-03:00 2016
8f5f54c7804946e9fa4d991ffdc8d36ad63aa53a,cb79078,7f9cb18,Sun Jan 03 00:00:00 GMT-03:00 2016
45e820e42c0694511152ed87e181cbb1fe4556d2,cb79078,8f5f54c,Mon Jan 04 00:00:00 GMT-03:00 2016
75157f192093f5b19be634fc7dfdd471138efdad,45e820e,d92c2b5,Mon Jan 04 00:00:00 GMT-03:00 2016
0943635263fe899e60f149296cafb72141cee002,75157f1,b481c10,Mon Jan 04 00:00:00 GMT-03:00 2016
c248dce38665d80981aec9bb1a9cf2f6d0333927,0943635,565a5f5,Mon Jan 04 00:00:00 GMT-03:00 2016
647f8f1cd09d6c0799e3edc72d768c73bbe20d9b,daebae5,c248dce,Tue Jan 05 00:00:00 GMT-03:00 2016
45558e30c7ee068efcfe340242df9c4b06bdbf5f,f2b0ac2,c248dce,Tue Jan 05 00:00:00 GMT-03:00 2016
bae4840a302e19f5ef8e8793dcaff2c98c7253ca,bdcbbee,c248dce,Tue Jan 05 00:00:00 GMT-03:00 2016
110ede0613ac0b35a73cbf9eeac97afd2634864d,105412a,c248dce,Tue Jan 05 00:00:00 GMT-03:00 2016
b887a1fb41fa7b70cc546c5eb0d35ec928cc6c93,2bc502f,c248dce,Tue Jan 05 00:00:00 GMT-03:00 2016
43fc4de5c2ae8456789ab181def56a7646b6462b,1b507a0,c248dce,Wed Jan 06 00:00:00 GMT-03:00 2016
67f66ae5371085573981965d657ba1a514e5d518,c248dce,43fc4de,Fri Jan 15 00:00:00 GMT-03:00 2016
335f57c77b118f99f01bd6ee639323a1b367e867,67f66ae,647f8f1,Tue Jan 26 00:00:00 GMT-03:00 2016
95a196f1699608787d287770cdbc425c06ba560f,335f57c,45558e3,Tue Jan 26 00:00:00 GMT-03:00 2016
418f1f8715f657a4753b09f64d1446eb5ac1af42,95a196f,9cca246,Tue Jan 26 00:00:00 GMT-03:00 2016
384d6497d9866881b8a787857a866e47ba3cce3a,418f1f8,81236f0,Tue Feb 02 00:00:00 GMT-03:00 2016
13618a4d460f5596b3995a775b49d0be41675358,418f1f8,62d2efa,Tue Feb 02 00:00:00 GMT-03:00 2016
4e1c3753f4c5903e6ba25f45019c6d2902e85296,418f1f8,13618a4,Tue Feb 02 00:00:00 GMT-03:00 2016
a1c168d0ab8dd66fe16d36bc33d60ea6eb3d1292,4e1c375,384d649,Tue Feb 02 00:00:00 GMT-03:00 2016
679caafd1cf7c37f34aa08e2382436b4e824ec06,144fe86,b887a1f,Tue Feb 02 00:00:00 GMT-03:00 2016
0a0a6530b8163bf828100886078f56f6032b17b3,144fe86,679caaf,Tue Feb 02 00:00:00 GMT-03:00 2016
318dcb918d09ba1b6ddafca63f3400f401ed8861,d1c2433,110ede0,Tue Feb 02 00:00:00 GMT-03:00 2016
5be20cc12e23bbb3ade771ece7380c29f1f0834c,d1c2433,318dcb9,Tue Feb 02 00:00:00 GMT-03:00 2016
680342b1070a3489fc10e334348f5de726361ded,5be20cc,bae4840,Tue Feb 02 00:00:00 GMT-03:00 2016
1db55776ac1554e73d034c56074c474372041200,5be20cc,680342b,Tue Feb 02 00:00:00 GMT-03:00 2016
ff430bc71dc2a2c216505345af73b8a2b9482a40,1db5577,bb1e0e4,Tue Feb 02 00:00:00 GMT-03:00 2016
9d311c73c3257f89a7dde736f4d97aeb0e383c68,1db5577,ff430bc,Tue Feb 02 00:00:00 GMT-03:00 2016
c7e5221512afd5c013826a08cc58f0535a53a960,07ba5e4,82be04f,Tue Feb 02 00:00:00 GMT-03:00 2016
ec084868c6108614eaa3fad81bfca1ab8f07a87c,07ba5e4,c7e5221,Tue Feb 02 00:00:00 GMT-03:00 2016
3a35e4c97b99c8ffb9984aba58c9e4eab69399c7,ec08486,9be7fa9,Tue Feb 16 00:00:00 GMT-03:00 2016
17f64ab401343e1096529546e6a6b8431595f3b5,66bba13,3a35e4c,Tue Feb 16 00:00:00 GMT-03:00 2016
566f900f8635e78bff5f12754a4a034960baddcc,3a35e4c,ae07a13,Wed Feb 17 00:00:00 GMT-03:00 2016
e213a92ba6b7c18b20cdc387c43e944caec0d6c0,c9155e2,ccd099c,Thu Feb 18 00:00:00 GMT-03:00 2016
d03a1e6ac221fc73c5ac519e21ad020024e318aa,a9afedd,e213a92,Sat Mar 26 00:00:00 GMT-03:00 2016
ff0ca0184b8e48a19bedba2af3a513323ef7fc21,e213a92,11c6063,Wed Mar 30 00:00:00 GMT-03:00 2016
8f413c8acb95065c49b4297ad81799c7746c68c2,ff0ca01,f88bc63,Wed Mar 30 00:00:00 GMT-03:00 2016
3cfff3612ae0dc139e619d4783317d63a4ce0213,8f413c8,3d9bcac,Mon Apr 04 00:00:00 GMT-03:00 2016
c4c40c548970c7c27bda7cc7d9588f3d2b330ecd,3cfff36,ea8b5e6,Mon Apr 04 00:00:00 GMT-03:00 2016
4c01511ce658fe5740e9566abb428fa7a496f9f9,c4c40c5,df5887b,Mon Apr 04 00:00:00 GMT-03:00 2016
981e5563021cab391c3b574d39bec919f087fbda,4c01511,e4af6c3,Mon Apr 04 00:00:00 GMT-03:00 2016
f47f57fb580812e2fa778c19618cb8470e311f03,981e556,f9b6b2c,Mon Apr 04 00:00:00 GMT-03:00 2016
b195febc162b91dc413e88c7ac3ec8fbc4c25d49,f47f57f,e475981,Mon Apr 04 00:00:00 GMT-03:00 2016
b017881dbd23ed106544911633fda22345a74429,b195feb,8ee25f9,Mon Apr 04 00:00:00 GMT-03:00 2016
e28c5fc7474f877da89680827e01682fa57728b1,3c22b5d,b017881,Mon Apr 25 00:00:00 GMT-03:00 2016
43b7a0142d0155e0e640794885b10f0bef78311a,b017881,98de75b,Mon Apr 25 00:00:00 GMT-03:00 2016
f41bf736acca253f05fa11bf2af07057cbb6fd2f,43b7a01,9b7f997,Mon Apr 25 00:00:00 GMT-03:00 2016
f34e77e3b0f7706941f776bdc103f7d5d9bd7f8c,f41bf73,1b843e8,Mon Apr 25 00:00:00 GMT-03:00 2016
