Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_d10b5-56cb7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_62077-a5d60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d5471-54a67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_da6cc-aae9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b1af9-9b637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_43404-befef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9751b-aff53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4302e-e52f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_98185-8ce8e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0346c-690eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d3f97-63612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b7577-d5ffa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ac7e-cde5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ceea2-8d995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8a4d3-1f026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5f1be-46075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3ef5c-bed8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_16144-208f9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_44737-47645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_de3be-9188e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_215f2-6967d,1,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0
rev_25b3e-d8343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c40cd-ee3a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e1aad-80cf4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9c142-73d1d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_78610-2bb88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6ecb9-6b55c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_778ca-e1eeb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1de7d-6aac1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_931ab-534f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dbb5b-c9226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8d11-99111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_40403-2ed43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2397-5a610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9086e-f95f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5400c-de678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_91820-c6e45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_be6d1-ba760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b0330-b7346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_69dec-ed45e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1ff8-91e79,1,0,0,0,1,1,1,0,0,0,7,0,0,0,0,6,0,0
rev_c2810-d6c97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fcf2a-dca3e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fd1b6-0909a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_41808-813aa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a85a-ebd94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_28a80-30d76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a99a8-79eb9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2a260-f7af1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_77767-93e9a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
