Merge,Parent1,Parent2,Date
97898e05966288e10ae3df31983dc66bf08f771e,d10b5bf,56cb794,Thu Nov 06 00:00:00 GMT-03:00 2014
073d62cc12dda2a15040de5ccb32376e6961dabe,620779a,a5d6098,Tue Nov 11 00:00:00 GMT-03:00 2014
5181156d8f7f90369a97aefe674adc3920b92301,d5471d1,54a67c0,Wed Nov 12 00:00:00 GMT-03:00 2014
67347869bd73bbe3e1750a0e51bad931dbcb7fbe,da6cce7,aae9cc7,Wed Nov 19 00:00:00 GMT-03:00 2014
72b1b7163cd555047dad0518bd6eb0382c44f7e0,b1af967,9b6371e,Mon Jan 05 00:00:00 GMT-03:00 2015
31e46fb3aec375008e743722faccaa7388d89cee,434042b,befef05,Thu Jan 22 00:00:00 GMT-03:00 2015
c943f168a24e6c9bf8d84b8a491a6a0453c02266,9751b2f,aff53ac,Fri Feb 27 00:00:00 GMT-03:00 2015
8e2ce75d0919336c9eb1c1a598d48974e658f41b,4302e92,e52f6c7,Wed Mar 04 00:00:00 GMT-03:00 2015
0346c9a5357f8dd330792d13db63fc42d199fed4,9818507,8ce8e83,Fri Mar 27 00:00:00 GMT-03:00 2015
3bc1fa6ec5517c34e68aa39e54224c8dbf2ab19f,0346c9a,690eb4b,Thu Apr 09 00:00:00 GMT-03:00 2015
7ad114215b5ba828fe6faf43d709200f1efbed26,d3f9728,6361211,Thu Apr 16 00:00:00 GMT-03:00 2015
0c2cf04b9a415e348564f07c684782f66e4bb22e,b7577fd,d5ffa31,Tue Apr 21 00:00:00 GMT-03:00 2015
ceea2d2d20da980af8cc777327b2dc4589e9a32c,4ac7ea8,cde5c97,Tue May 26 00:00:00 GMT-03:00 2015
8a4d3e6d959c96c4ee1dd87b3562ae22fdabb00e,ceea2d2,8d99537,Fri Jun 05 00:00:00 GMT-03:00 2015
5a360fc2972b9b6df3f892bec55f11b91f6498a7,8a4d3e6,1f02656,Fri Jun 05 00:00:00 GMT-03:00 2015
9c666b6763ec0920ee406dfd9fdab1d37927601a,5f1be53,460753a,Mon Jun 29 00:00:00 GMT-03:00 2015
037b4d1649bd844fcf6e6c341d2fc5b8b72eb67b,3ef5c86,bed8c95,Wed Aug 19 00:00:00 GMT-03:00 2015
a36571b5cc130e18f8547a6df3d57bd186b00940,16144a8,208f974,Sat Sep 12 00:00:00 GMT-03:00 2015
8bed0d182fed19e8c8ef61701f10c423c5cf14e6,447379a,47645c3,Mon Sep 28 00:00:00 GMT-03:00 2015
209756b9e8a98bbca65367540f8cb19abcafa21f,de3bea3,9188e0d,Tue Oct 20 00:00:00 GMT-03:00 2015
b04064503d9e980f2db643a3f51aaf3a833790a9,215f2a1,6967ddd,Sat Oct 31 00:00:00 GMT-03:00 2015
a1febfa5c979d19e07c2dc14640c9e7aa4051b3a,25b3e50,d834301,Tue Feb 02 00:00:00 GMT-03:00 2016
e1aadeb2f231b69cb8c10e6b1cf3439ad4723e7a,c40cd36,ee3a990,Mon Mar 14 00:00:00 GMT-03:00 2016
582185a8fabb8652c6af49d3a5d6fce3aa93fdd0,e1aadeb,80cf474,Thu Mar 24 00:00:00 GMT-03:00 2016
62c665a00a6d954a3534532997aead8c51212e7d,9c142aa,73d1d21,Wed Mar 30 00:00:00 GMT-03:00 2016
6ecb99e091de1778a3776122062e34c84bab340e,7861033,2bb8830,Mon May 30 00:00:00 GMT-03:00 2016
778ca87ce46b21d0a50327481e45b7ccc75e3757,6ecb99e,6b55c51,Mon May 30 00:00:00 GMT-03:00 2016
46e319eef4a1ab10f8048529e9b3231ac60921c2,778ca87,e1eeb03,Wed Jun 01 00:00:00 GMT-03:00 2016
931ab9f970010403effb71b9a78995c504c4eb26,1de7d9d,6aac13f,Wed Jun 08 00:00:00 GMT-03:00 2016
f1088473aaf68e48594f3dee3308b77a4b452883,931ab9f,534f7f3,Wed Jun 08 00:00:00 GMT-03:00 2016
fcab9a09f5f82d954e213fb950e9f925cf656da9,dbb5bfe,c9226b4,Thu Jun 09 00:00:00 GMT-03:00 2016
d1879b19cb36427b1cd73595701230564c36fbe9,e8d11a2,991119e,Sat Jun 11 00:00:00 GMT-03:00 2016
39ffd8bcd4cdd03b972625a9e8ed7796b51b006c,4040377,2ed43ba,Tue Jun 14 00:00:00 GMT-03:00 2016
d20ebd228c40963d976ed2f5271c44c78aad102a,c239741,5a61088,Tue Jun 14 00:00:00 GMT-03:00 2016
52c8fe851c73449bd2cef90bd3e98f1fa1ec1184,9086e00,f95f7a5,Wed Jun 22 00:00:00 GMT-03:00 2016
5b63f2d2eeb14c1347b06634cacf04b82254de12,5400c46,de6782e,Wed Jul 06 00:00:00 GMT-03:00 2016
be6d1d41625d6c9e8126b1bba2a233b046aef6b5,918201c,c6e45d7,Fri Jul 15 00:00:00 GMT-03:00 2016
b0330cda6e8c61450c8dbeec91d1e56361c9f5a5,be6d1d4,ba760e2,Fri Jul 15 00:00:00 GMT-03:00 2016
05dc085372eab836bc90fbfa270ae7ea1615d887,b0330cd,b734657,Sat Jul 16 00:00:00 GMT-03:00 2016
93be4a6413a08a62236df808c37a4152f72a5277,69dec9a,ed45e91,Sun Aug 07 00:00:00 GMT-03:00 2016
880f10f01a62fcc69addbbfa358fb59fd6fcbf15,c1ff8c4,91e79de,Tue Oct 11 00:00:00 GMT-03:00 2016
6b39788ca3265c91a949b88074a52565a0db5d86,c2810d9,d6c9713,Thu Nov 03 00:00:00 GMT-03:00 2016
fd1b66aa18d10ee7ba90cd59659d84117315ca1d,fcf2a96,dca3e29,Mon Nov 07 00:00:00 GMT-03:00 2016
41808985da85e5b73fb9f013b2817483599474d2,fd1b66a,0909ade,Mon Nov 07 00:00:00 GMT-03:00 2016
5a85affa8e31db9d11dce4fb90f580cb8fb2653e,4180898,813aae0,Mon Nov 07 00:00:00 GMT-03:00 2016
28a80e70d25909a18b23bc337f5e5c094d3b3cdd,5a85aff,ebd94f0,Tue Nov 08 00:00:00 GMT-03:00 2016
79c236c052ad218bf8464138b99323c4b977ee2c,28a80e7,30d76a7,Thu Nov 10 00:00:00 GMT-03:00 2016
c8a1ae9e679c0b1c843bee07d9ca9dbb305585b0,a99a889,79eb949,Wed Nov 16 00:00:00 GMT-03:00 2016
7f81efb6783d69db48a0de85079b82e29fbd2bf7,2a26043,f7af117,Fri Dec 23 00:00:00 GMT-03:00 2016
24ea99c45af0c46d7df3e52024a74e947377954c,77767bf,93e9a7a,Wed May 31 00:00:00 GMT-03:00 2017
