Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_224ec-d7737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ed059-6dde8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f1e3d-9668b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_16498-d4c40,1,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0
rev_c6c47-d4c40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d4c40-4c788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7e636-6ba3b,1,0,1,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
rev_63782-fcc09,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_7ab25-8a706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_55c2f-57554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_55c2f-baa71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_221df-00fd1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3ed38-3c092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f5337-69939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f5337-1bd8c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f670c-51043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a167-bb3bf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ec3b3-68c24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
