Merge,Parent1,Parent2,Date
a94705f0f37d2bc4d713def0f206cff802a12056,224ecf6,d773727,Sat Apr 26 00:00:00 GMT-03:00 2014
8142d29fa061283e6f231d3e42a478017f78043f,ed05994,6dde8e5,Thu May 01 00:00:00 GMT-03:00 2014
d4c4092de2fc518b73f9b9a1a6a8cf6407f80a91,f1e3d8c,9668b04,Fri Jun 27 00:00:00 GMT-03:00 2014
4c7880ec0e20cabecb1c31043e95ff6b8a707543,16498e2,d4c4092,Fri Jun 27 00:00:00 GMT-03:00 2014
6ba3bc5f65b7182fa6a45cac78f141c43eda5378,c6c4743,d4c4092,Fri Jun 27 00:00:00 GMT-03:00 2014
7e636bd7b07638390137bd13a275083bf364bb99,d4c4092,4c7880e,Fri Jul 04 00:00:00 GMT-03:00 2014
26ac62ceca4d74ab85952e8fe26a1dcf201eeda7,7e636bd,6ba3bc5,Fri Jul 04 00:00:00 GMT-03:00 2014
7ab25cd725e8b78a3ed78f7723a544c52d6dc3f9,63782c0,fcc099f,Wed Jul 30 00:00:00 GMT-03:00 2014
2ec5bccfd2b57da6bb2c9d7707d31890e04da810,7ab25cd,8a706d1,Mon Sep 08 00:00:00 GMT-03:00 2014
baa71529741ae5824b1e06a194ca698012e3eb0d,55c2ff2,575544e,Mon Sep 08 00:00:00 GMT-03:00 2014
2b5f27b47ff05a98a1726c3b81a876524ff01eb5,55c2ff2,baa7152,Mon Sep 08 00:00:00 GMT-03:00 2014
6993914663592ec6e54b5858e91912145fbf84a3,221dfee,00fd11a,Wed Oct 08 00:00:00 GMT-03:00 2014
f53377542d2b73fc1f02952624305f964ba00231,3ed38a6,3c09237,Thu Oct 30 00:00:00 GMT-03:00 2014
1bd8c3b03b92c2f58aed2d29053b58d158a7f68e,f533775,6993914,Thu Oct 30 00:00:00 GMT-03:00 2014
7d6a0d965345cb8dc14598274bc4341818eac84b,f533775,1bd8c3b,Thu Oct 30 00:00:00 GMT-03:00 2014
a4a85d7624075cdc223c891f7119c0d739b3e2cb,f670c3d,5104333,Thu Oct 30 00:00:00 GMT-03:00 2014
ec3b30f0990c51ba405736d8b794ed0567565422,5a167c5,bb3bf73,Tue Mar 31 00:00:00 GMT-03:00 2015
8f3ade0e293dbe9171ae11625857b897b7491f09,ec3b30f,68c243f,Thu Mar 24 00:00:00 GMT-03:00 2016
