Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_49f88-a09c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c3f48-a944a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a9d08-dd0fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f0a10-07e3a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0d567-09c2b,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_685a0-ebbd5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_516b4-2ea3d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d492e-04aa2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8efe-6005a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4f3d1-0f668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8adc8-500ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5d858-3df1e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d298d-5ca8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_16e3c-882e1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_560eb-58d91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b1911-52147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_974c9-a8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_08999-47703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
