Merge,Parent1,Parent2,Date
a507d0838a8403a4931e53ebdc28b0971f54ed5e,49f8848e,a09c22b4,Mon Apr 15 00:00:00 GMT-03:00 2013
61ec34921bd7878237c8a203e28c267e1f02a2ae,c3f48e85,a944a906,Wed Apr 17 00:00:00 GMT-03:00 2013
dd0fd150287438efe992f41d0d96bca77c0409a4,1ba7d342,80c6b115,Wed May 15 00:00:00 GMT-03:00 2013
f0a10ed48f50a47d40fa0d25383dd5f60b4c0f5d,a9d08af8,dd0fd150,Wed May 15 00:00:00 GMT-03:00 2013
09c2b0cf786709fe4730811a80710300de96d53d,f0a10ed4,07e3a42b,Thu May 16 00:00:00 GMT-03:00 2013
be8b11c4794afe857f035cd7bc45204d8a8a4f39,0d5677bc,09c2b0cf,Sat May 18 00:00:00 GMT-03:00 2013
dae448b439d1ae29640b8aaabd47430f2ffb2986,685a0670,ebbd5ef9,Mon May 20 00:00:00 GMT-03:00 2013
37f66833c468e1ea1ffd69626a2f6ff0890465c8,dae448b4,e5612962,Thu May 30 00:00:00 GMT-03:00 2013
d492e3222306cb7a5ddc0a5b65aa96a916ef021f,516b4ec4,2ea3d07c,Tue Jun 04 00:00:00 GMT-03:00 2013
f24e355fdc5e4b5768f76e0015d3f302f40b0e71,d492e322,04aa2973,Tue Jun 04 00:00:00 GMT-03:00 2013
0f668cb7eefc2f67bad68a35f188336393af1f7e,e8efe3e5,6005a12e,Thu Jun 13 00:00:00 GMT-03:00 2013
8d723ae997d2878750316c863be88e0987c5bdea,4f3d123e,0f668cb7,Wed Jun 19 00:00:00 GMT-03:00 2013
256ee07956bfbd6fcf9dd9f4f1ecd7cff2d42170,8adc8850,500ef390,Fri Jul 05 00:00:00 GMT-03:00 2013
0de404cdcbddd58f4a4996312f5ef3f860044405,5825ec93,0dabae33,Thu Jul 18 00:00:00 GMT-03:00 2013
7cb412752810ad0c5574518189360a38d5cbc928,0b3a2aab,5ed77148,Mon Aug 19 00:00:00 GMT-03:00 2013
2313b146f71bf55d8c040158a48c1c2483cab6d9,5d85857e,3df1e970,Tue Sep 03 00:00:00 GMT-03:00 2013
fdaf89ee16f49ba7dea4a6003847bda431a525a2,2313b146,64411c0e,Thu Sep 05 00:00:00 GMT-03:00 2013
32bc36056532959e81af91928c44790e00948067,fdaf89ee,2c2f8888,Thu Sep 12 00:00:00 GMT-03:00 2013
d298db116cf19c65940b9fcc56d0eadd4bf7ae3a,302d0603,dccc4b6c,Wed Sep 25 00:00:00 GMT-03:00 2013
32e8c0d601e8b3392d404102df0954c241a1d5ca,d298db11,5ca8acd0,Fri Sep 27 00:00:00 GMT-03:00 2013
a8ae31f0c775db8a3378e55eb6338f4cbc1a5680,5f46e61e,e43f0631,Wed Oct 02 00:00:00 GMT-03:00 2013
c927515d0bee916ac729c48ba516bec2c436de2a,2138cb7e,add7da50,Mon Oct 28 00:00:00 GMT-03:00 2013
2768b9331404999f7bc3a2c9a3ff995413fb219f,16e3c9fe,882e18f4,Mon Nov 11 00:00:00 GMT-03:00 2013
a14c84859e32c33cdf70f26be342f0ef570a3e94,560eb868,58d9109f,Mon Dec 02 00:00:00 GMT-03:00 2013
1725aaaf72eac7a638863aba3d55020e1d5feae5,24fae521,4836ed82,Tue Dec 03 00:00:00 GMT-03:00 2013
a801686d582caf16d81c91d531d7d99c410b481c,1725aaaf,6954edf9,Sun Dec 29 00:00:00 GMT-03:00 2013
b1911201a17bc0b75160e4be6af9783ad33e6ec8,a801686d,7ec35b5e,Sun Jan 05 00:00:00 GMT-03:00 2014
59c700e6b3352cc228c9fe92605ad22a4a3dc014,b1911201,52147780,Tue Jan 14 00:00:00 GMT-03:00 2014
732cbd4efab9e45be98e942efecd9b56981c75bd,2a1c6ae5,5b67c335,Sun Feb 16 00:00:00 GMT-03:00 2014
089999765266cf208d49661edd643152cfead414,974c9613,a82805a3,Mon Mar 24 00:00:00 GMT-03:00 2014
69d90285271a56d97482c30d001b6b4f2052df45,08999976,47703355,Mon Mar 24 00:00:00 GMT-03:00 2014
52d21eecb34b5ef1812579891b532e10ab93e9c4,74063130,ab9b0d70,Mon Apr 07 00:00:00 GMT-03:00 2014
0cd5aaf22104835b1f2f669b4f96646736b678c5,f018a24e,798d39c1,Sun Apr 13 00:00:00 GMT-03:00 2014
33424a2f7c70fc195dc49b343870cd68ebf93ec1,52d21eec,0cd5aaf2,Sun Apr 13 00:00:00 GMT-03:00 2014
436681aad25feb94c20696a124d23d5ae29d6326,33424a2f,ee1ed29f,Sun Apr 20 00:00:00 GMT-03:00 2014
51b6cb8c66600b1dd779016843f2446e0e10f1d1,436681aa,d453e382,Mon Apr 21 00:00:00 GMT-03:00 2014
7d577f8e1254034edd85b4b3efefaf27e4e0b43a,f018a24e,14d08239,Sun Apr 27 00:00:00 GMT-03:00 2014
d1d9e34ce7cdf0676c98886cecd10694ceba2b2d,7d577f8e,a748922c,Sun Apr 27 00:00:00 GMT-03:00 2014
0adb22e055c229a7d27653c2092e3b2eb23243e6,2d4af9ea,9c8284dd,Thu May 01 00:00:00 GMT-03:00 2014
fe932552231232b71d2f2fa9ec3e73ac2f6c0201,01eab451,3b6b6e12,Fri May 16 00:00:00 GMT-03:00 2014
11657612a2bb030cf060c73d1b1b3eedfbc3b5ae,4ccce94d,3b9a61aa,Wed Jun 04 00:00:00 GMT-03:00 2014
fd46cc1ef5025fd120992cc7f95fb66e41d7db1c,2aa9ab69,9c9cc611,Thu Jun 12 00:00:00 GMT-03:00 2014
2ef6798b22f2707f4698891958e9b8bba535bacf,bf0a4fb5,fd46cc1e,Thu Jun 12 00:00:00 GMT-03:00 2014
f1432aad6d2494deddadda43b216645e19e981f2,5369ed10,0b9b59c0,Sat Jun 14 00:00:00 GMT-03:00 2014
a8733cd6076885a3337de246723fe9903d452080,accfaf63,a00dd324,Mon Jun 16 00:00:00 GMT-03:00 2014
3a3c6b099fafea06ea17a75db90426c1271fc939,a8733cd6,31f0a077,Wed Jun 18 00:00:00 GMT-03:00 2014
167dc302dca7c61a0456c3162ab54378811d6c59,3a3c6b09,be323e0b,Thu Jun 26 00:00:00 GMT-03:00 2014
a2d23af26e9b57b49c07910e5b7c49319e601361,061a825d,fc884e14,Mon Jun 30 00:00:00 GMT-03:00 2014
1ec75b4d15dad823c6c211198df1a36915a6107f,47fc33e8,e76fa121,Sat Jul 12 00:00:00 GMT-03:00 2014
f46bbf2cca488bb1e092f852c1fb78e1f2fa0335,19ba3e98,00b71fd3,Wed Jul 16 00:00:00 GMT-03:00 2014
5acb48f5621711457158c929c9b6601665c57ba1,4a0b44bd,f46bbf2c,Wed Jul 16 00:00:00 GMT-03:00 2014
086cc89fa1c614bac82c819812271c9dba971695,00365ded,cce5cacb,Wed Jul 16 00:00:00 GMT-03:00 2014
d6ccabf629361f48381cb8b0a33f4d038104b6c0,cce5cacb,388eb374,Wed Jul 16 00:00:00 GMT-03:00 2014
7700acbc93568af7d8b8349eeb52c575af750ff6,ef9b6835,d6ccabf6,Tue Jul 22 00:00:00 GMT-03:00 2014
684b906bd60b18c795ece80e8a761e50cec85103,e32403e8,e6cb7139,Mon Aug 11 00:00:00 GMT-03:00 2014
b1a468c6bb36278010f2c8d7603a0e75b8de2d60,684b906b,b247904e,Wed Aug 27 00:00:00 GMT-03:00 2014
6d681722ba5bf9e650165ff68008e16d6b0c6dae,7bba0093,ea827af4,Tue Sep 16 00:00:00 GMT-03:00 2014
