Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_e954e-00e2f,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
rev_f80d5-47e2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_42eaa-ee087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d8f95-ae56b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d76d9-46ab7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8e8da-0a6fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6bfaa-ff640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_23785-326b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a7a79-6f477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a70f4-a4a40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_afaed-21ed9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8332-d71a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7de3f-9c46d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8a1fc-2c0fc,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_69418-b4eea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f5a26-76237,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_c6692-1a257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_31da2-8b176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
