Merge,Parent1,Parent2,Date
c87fd6136bd6ec7afda1b93d5665881b06a3185a,1d3a0b49,f1c62ff6,Thu Mar 12 00:00:00 GMT-03:00 2015
2f3c714d6abcdb62983abe48404afa24a672231b,f80d5098,47e2a74f,Fri May 29 00:00:00 GMT-03:00 2015
ee087f587a96700d91e407d434e94d1616c18368,ee4c0711,96a2d024,Wed Jun 10 00:00:00 GMT-03:00 2015
d8f950b6b90f3ce144fd2ae78184844ffbacc9b7,42eaa18d,ee087f58,Tue Jun 09 00:00:00 GMT-03:00 2015
a024db7609997039e71b5369496b3e8e687a130b,d8f950b6,ae56bc9e,Wed Jun 10 00:00:00 GMT-03:00 2015
c7500c72b18c8a794cc6c2853a39b3617586396a,ae56bc9e,c83714bd,Thu Jun 11 00:00:00 GMT-03:00 2015
26e1ba286424d5ee623e8941cae7cf0b3625c870,f7f676fa,5dc81b61,Thu Jun 11 00:00:00 GMT-03:00 2015
46ab7d5a366a40f1bf55153fc7938f5762fb2345,26e1ba28,009e4895,Thu Jun 11 00:00:00 GMT-03:00 2015
2ea28550c48bb547316c86986e9adf989efd51e3,d76d9459,46ab7d5a,Wed Jun 10 00:00:00 GMT-03:00 2015
204413667375b2ea561b80555ae0c4e6115ff15b,46ab7d5a,2ae2106d,Thu Jun 11 00:00:00 GMT-03:00 2015
771e2d7c4ceb34c0b62852130061b04640b8ee71,8ff799f9,92ac9aaa,Wed Jun 17 00:00:00 GMT-03:00 2015
55448d82b2971bc16c67bfa2b2e996d81c4c702e,88b3f00f,d1c4cd52,Mon Jun 29 00:00:00 GMT-03:00 2015
7310ee5f15729ea8517bfb6b0890a46da1217610,8e8da701,0a6faa86,Tue Jul 14 00:00:00 GMT-03:00 2015
6373d4ce4434545620f5f960866ce0ae76bb1094,c368b734,79f55bfd,Thu Jul 16 00:00:00 GMT-03:00 2015
466e704934894ed44458bec798fa9fad0532bb4c,6bfaa4bd,ff640cf8,Fri Jul 17 00:00:00 GMT-03:00 2015
c4f6471ee18b97130e85efd488b5d102a1935366,d6c53e95,e4248b9a,Mon Jul 27 00:00:00 GMT-03:00 2015
76b883fcb008bffea756be80b301cd6934b122ac,23785ccc,326b6665,Mon Jul 27 00:00:00 GMT-03:00 2015
41f88170ba9c47a20a0dda9cb42a2fa151c57ade,0de1d3e5,44e0e429,Wed Jul 29 00:00:00 GMT-03:00 2015
d97c74a7cf0efe5f4209e31a998b97fc1be8023b,173699d5,66dbefa1,Thu Jul 30 00:00:00 GMT-03:00 2015
c07721bbf4b360a0173803d429d910e7932ecf6f,43181f1d,ff6a2c48,Fri Jul 31 00:00:00 GMT-03:00 2015
ca8117866731b8f2a776dcf516e76447f63a8e7f,a7a7926d,6f47747e,Sun Aug 02 00:00:00 GMT-03:00 2015
a219a1c07373627484838f3559a4f60be3aac55f,d4a507f6,ca811786,Sun Aug 02 00:00:00 GMT-03:00 2015
f2c6f5aa0248c5b40e5aebd57e905fc2769937e9,a70f4787,a4a40243,Sat Aug 15 00:00:00 GMT-03:00 2015
f804916f5842da7150651aa83a58633c02de9523,24c04679,e6b9901b,Tue Aug 18 00:00:00 GMT-03:00 2015
a90ce59795690267a0924c2b911f14fe0340a6b4,afaede42,21ed9dbb,Tue Aug 18 00:00:00 GMT-03:00 2015
c06de84d316e7c67f6d22e12f855e2df34bbc3fb,afaede42,3ad3edfa,Tue Aug 18 00:00:00 GMT-03:00 2015
7e7f91ed31bd21b00d5380afe6d75ed45ed0b0fb,c963f7fc,130b2524,Sun Aug 23 00:00:00 GMT-03:00 2015
cfd782a49e0c810a6870ac6b6f7d085b3548e885,a17aaf1a,a1f3f689,Wed Aug 26 00:00:00 GMT-03:00 2015
2e9842ebfa6d8b4d053d66c437a11190a0f49e6e,c833289d,d71a438f,Wed Aug 26 00:00:00 GMT-03:00 2015
09a99e1e3971612fe7effea976e0cd1e669f4320,2e9842eb,cde27ba6,Thu Aug 27 00:00:00 GMT-03:00 2015
51a0046d026d0e4273413e2e8c84ef9e26f0a4cf,9ab536ca,7644abe2,Sat Aug 29 00:00:00 GMT-03:00 2015
bffaeb73d428d6b8cf78a727d9f48b6ef3722431,5f4e33e1,46636454,Mon Sep 07 00:00:00 GMT-03:00 2015
3b98d3c8727b569cc9d785e0b1e5ff01d0c26f2d,bffaeb73,9073204b,Mon Sep 07 00:00:00 GMT-03:00 2015
3f74cffe385b9aebdc5f0d8b54e9e18f5392d783,25e4ce8c,33db89b4,Sun Sep 20 00:00:00 GMT-03:00 2015
45249d656002ac258f18fbc4713408dcefc08ee2,7de3f92a,9c46d4cf,Wed Sep 23 00:00:00 GMT-03:00 2015
2e1d36be1e21209926d01ea4fc32fd4925f7f9d6,0141fdc9,6adc5602,Wed Sep 23 00:00:00 GMT-03:00 2015
756b416561bf19f345338f4327c7113afb457867,8a1fc0ff,2c0fcf9c,Wed Sep 23 00:00:00 GMT-03:00 2015
a307569274f315c786fa4b342f97dd9e1ac0a213,f8055b4c,5e255a26,Wed Sep 23 00:00:00 GMT-03:00 2015
09ad10e13fdf5a343c4450025635a498bdea7ea3,b53bd6df,929ddf18,Thu Sep 24 00:00:00 GMT-03:00 2015
6d8c8f3b9570ecb3fc359071b23a8fa0ecf836ab,2a690606,a4a77691,Tue Sep 29 00:00:00 GMT-03:00 2015
0f1fa7f6f88435fc3fb526fe9e732f2f32172071,6ee29ddd,c45146fb,Fri Oct 23 00:00:00 GMT-03:00 2015
e4cca2ad0dfbf3ecd60785b6974f5f16ac2f66ea,4610c224,e134adb5,Thu Oct 29 00:00:00 GMT-03:00 2015
e62d408f73d34a7f0ed5a43fd8b517f9667dbb5e,c9d9ef9f,d7d53864,Sat Nov 14 00:00:00 GMT-03:00 2015
12693f823d17e106361c9626d14d9baf040af7e4,6941836a,b4eea84b,Sun Nov 15 00:00:00 GMT-03:00 2015
a97966cb0335c5a8841bd0791871253a4f780d0b,dfaa98a4,65361d8f,Wed Nov 18 00:00:00 GMT-03:00 2015
77cd23da84ebebcf99a97a8aef88aa9a4884ca40,f5a26695,7623704e,Sat Nov 21 00:00:00 GMT-03:00 2015
ca06e8d38c0bbd5a68e63ebada8e115da252b055,c57bd2d4,7db2eb1a,Fri Nov 27 00:00:00 GMT-03:00 2015
cefc12afe98f610aa0f266bcac4361f9ec414ee5,c6692703,1a25796d,Mon Nov 30 00:00:00 GMT-03:00 2015
ef2ae4103726dae12a0153886219d4ac43d20ae0,c6692703,53f70085,Tue Dec 01 00:00:00 GMT-03:00 2015
547ba114449a882839498044d1bf9d0592c2174f,1f1e3f22,2343c854,Tue Jan 05 00:00:00 GMT-03:00 2016
54f8bba338b7262ad6c938bb2284c148fee6cd62,8622ba6e,9b11013c,Sat Feb 13 00:00:00 GMT-03:00 2016
31da2dba43dfc4fa963f51ac1f249029a746319f,967b5133,de5c65eb,Fri Feb 26 00:00:00 GMT-03:00 2016
26fffb39efe9ce55cfaeccb724551e0c0a579697,31da2dba,8b17694d,Fri Feb 26 00:00:00 GMT-03:00 2016
4b2c0d922ba422a696579fa9d083b98da51f6861,53fa46d7,002443ba,Sat Feb 27 00:00:00 GMT-03:00 2016
4606737cc07b736f9c8f98ae680b928c94c082c8,3ced9938,ab5d21e1,Fri Mar 11 00:00:00 GMT-03:00 2016
f96a9f1b6f53ad8a25167360ca4545a83c24cac7,ab5d21e1,4606737c,Sat Mar 12 00:00:00 GMT-03:00 2016
7fd1c08dd2f789ddd37ff075a6ebda1645947616,4606737c,0a1019b5,Mon Mar 14 00:00:00 GMT-03:00 2016
0631d21876e8cd76210b7cceaedb5b2bd5a933b9,0aaf7151,de22e61f,Fri Mar 18 00:00:00 GMT-03:00 2016
4ab7143ea7084b9397fb4a2e59fd9b62d4fe18c5,f0c990d0,78317e1e,Sat Apr 09 00:00:00 GMT-03:00 2016
b1eba6d44bb3940e9920149df0703ebd8e8afcf1,a427f3f6,ce97df30,Fri Apr 22 00:00:00 GMT-03:00 2016
037b1401975751f8b70338eae781e28bda676972,32f5c3ce,45f1471f,Sun Apr 24 00:00:00 GMT-03:00 2016
07d3ff0538c4999b7ac445d5c41af3c67c098bce,037b1401,b97a5a77,Sun Apr 24 00:00:00 GMT-03:00 2016
69b3a1e33ae071d722b7c73df8405d8e8fb9bd08,07d3ff05,74f2e3d3,Sun Apr 24 00:00:00 GMT-03:00 2016
516ef6a30eb59e1b9c3aa297e3595c5acf665530,5bf82eff,59f46609,Wed May 04 00:00:00 GMT-03:00 2016
4e44bf1fa20bf6ce41cc7e0eed9b79d079454f82,7ed27b73,301f2d31,Mon May 09 00:00:00 GMT-03:00 2016
9f86b2b1c39fb98cd7ac1f00d0a535b128f158e5,96f18a99,d0f99279,Fri May 13 00:00:00 GMT-03:00 2016
c295791fa85385e06d98c2708f1719fe01d6a920,f5f8e079,4915e5e1,Mon May 16 00:00:00 GMT-03:00 2016
e816b0e9f3023f31b3ed0d984ded755d07dcb9b3,c295791f,4d8e8208,Tue May 17 00:00:00 GMT-03:00 2016
c2ea4eed9bf27c357e8cb1046652efb43f6f87ff,92c30855,e816b0e9,Tue May 17 00:00:00 GMT-03:00 2016
8249d9f7dc2cd4b7bb32e8d528d387f5ce88a60d,e816b0e9,252530b3,Thu May 19 00:00:00 GMT-03:00 2016
970040bce55605b58e622fd382df073b5f8b97e5,8249d9f7,0d755beb,Fri May 20 00:00:00 GMT-03:00 2016
267999c33a63356dd9aad0628e39548aab249a80,8249d9f7,0065906b,Sun May 22 00:00:00 GMT-03:00 2016
d3e34416e9825833fa1db02112c56981999df039,ac2405f0,aa12e5c7,Thu May 26 00:00:00 GMT-03:00 2016
3db183a5535a986b015566c6df929da8c6ca9630,cce427a7,41c46575,Wed Jun 01 00:00:00 GMT-03:00 2016
ab35686de46a23dd0c7974c6426b3d60eba05228,3db183a5,279948e9,Wed Jun 01 00:00:00 GMT-03:00 2016
d2c85b59bde4729d027ef1bb6e874d1fd1a02c68,3db183a5,0eda3f7a,Wed Jun 01 00:00:00 GMT-03:00 2016
e4ba1ebf54838041fae352d95e399b1fb3483458,5df7c128,d2c85b59,Wed Jun 01 00:00:00 GMT-03:00 2016
f0750a4b89088f05af6f561201b43ceeb407bd35,d2c85b59,27770369,Thu Jun 02 00:00:00 GMT-03:00 2016
9ecabbef669cbd1a91490f4872d4c220b54e37a4,06a746b4,0271fa29,Fri Jun 03 00:00:00 GMT-03:00 2016
cbc7ebd663ad71b1ff5882ffa3dd920c9c81b60d,0e983a5c,51278b06,Thu Jun 09 00:00:00 GMT-03:00 2016
dbf2dc067c6309e8e28745462bb4a791c44a3d26,3627e152,51484645,Thu Jun 09 00:00:00 GMT-03:00 2016
e966778c43ee4a2fa12705cded8648b96ef78f61,5a2c64cd,049bab3b,Fri Jun 10 00:00:00 GMT-03:00 2016
b3b0cd9d6f2d26cef2e64ef38e23203f1f3fa51a,d801cba4,82a78ff7,Sat Jun 18 00:00:00 GMT-03:00 2016
63aa4472c7d851a0b414dd3c295ccce2bc8c827f,cc26f014,f82970ac,Mon Jun 20 00:00:00 GMT-03:00 2016
5b254b93fef12f39b0782bbc94d5f280e680900c,25e323de,52e7002e,Fri Jun 24 00:00:00 GMT-03:00 2016
7327681f0bd2338f9c8ee3ea1b4a19dcc5f0de48,67f46c80,61b24863,Tue Jun 28 00:00:00 GMT-03:00 2016
8cb9fb298578bc4870a360d258172ef80cffeee3,aaff3f18,9003ace4,Tue Jun 28 00:00:00 GMT-03:00 2016
20d9e6d46fb692f42c9f2a73bcd354691bdd9385,a44f390e,36ec2ef7,Wed Jun 29 00:00:00 GMT-03:00 2016
bd21690b702b6aeae07b53ac255b8157d07e8f40,ebb43a1d,22f37ea8,Mon Jul 04 00:00:00 GMT-03:00 2016
c8735de4c31037f16b5f68420bff2d2f6419bae5,7734bfa8,23796ee7,Mon Jul 04 00:00:00 GMT-03:00 2016
bcc20a915c61d7a86fd19b03ec1ab55ac5cf8527,c8735de4,dc8db55c,Tue Jul 05 00:00:00 GMT-03:00 2016
a648d0b94232a7f66d16ed094ff2414823250117,d14cef37,018dfb03,Wed Jul 06 00:00:00 GMT-03:00 2016
81cac93e54e336b78c80e3a099b72d6bb8f3e1b4,21a8fb81,f8f21ce1,Thu Jul 07 00:00:00 GMT-03:00 2016
173abe94195da45f2521e75a8ac4a37e074fdc6b,81cac93e,9b1d9a27,Thu Jul 07 00:00:00 GMT-03:00 2016
9d44d79e32f634df6b98d9898aa714fee25f035c,11bc6b9a,ca2d3882,Thu Jul 07 00:00:00 GMT-03:00 2016
f51fc87269a3fe83de3399ec5031ad9a2d0a88bd,9d44d79e,77aa77ea,Thu Jul 07 00:00:00 GMT-03:00 2016
4007613e2d420cb8b74eb49740683e940d17578c,f51fc872,e4b3214b,Thu Jul 07 00:00:00 GMT-03:00 2016
087e3df977541327e6977bd73aa22b6aafce2313,4007613e,5acf3e52,Fri Jul 08 00:00:00 GMT-03:00 2016
41028b36b1304ea2150537db3fdf147c6116d28b,d7ac5195,282d1f68,Fri Jul 08 00:00:00 GMT-03:00 2016
88b48828e46cdb444c4b77f474e0e8c8f37c23ca,c78b3a34,77bdf87d,Sat Jul 09 00:00:00 GMT-03:00 2016
a4fb348dbfe2a71e067bd36e24b33ea2130e8c1b,b08251ad,894fc83e,Sat Jul 09 00:00:00 GMT-03:00 2016
2815920deeffdc60edffa10bca4a5915d0dc2c35,51e74b50,2d595441,Mon Jul 11 00:00:00 GMT-03:00 2016
fe9ab15104d36a5d8d01375f9540d59a835bce5e,96e69cad,c9a4996c,Mon Jul 11 00:00:00 GMT-03:00 2016
817360eee7dba57cf8b58e858f7acf60f27b5e68,063ca2ff,fe9ab151,Mon Jul 11 00:00:00 GMT-03:00 2016
a4a127b5255cd62aae25419dbf289a926c5adbfd,817360ee,0bda0181,Mon Jul 11 00:00:00 GMT-03:00 2016
6a63cf732a11df1512071e3777e080627b878bc5,f28ac06a,f96d6a68,Wed Jul 13 00:00:00 GMT-03:00 2016
312cc919eb1fc31af512fb4f73d5f1fd65b297b8,6a63cf73,4414e093,Wed Jul 13 00:00:00 GMT-03:00 2016
5f5c61f17fdf8ecd3e70112b32aaf4a8d04f2335,3901c137,312cc919,Wed Jul 13 00:00:00 GMT-03:00 2016
d154cb277fe2f7b5dfe6bdaee1a013729bbf22eb,312cc919,5f5c61f1,Wed Jul 13 00:00:00 GMT-03:00 2016
636f6e19b4ae7fbd80ff083498fface8c12ee9c8,0e7cb816,d154cb27,Wed Jul 13 00:00:00 GMT-03:00 2016
82fd4d09aa7ac37bf2eb1857b12efbd3bc773a94,d154cb27,7ce8c4ec,Thu Jul 14 00:00:00 GMT-03:00 2016
2db5a3df91a76776cc214eca1e1fda6aecd0f36d,6dfd599e,a8c7b44d,Fri Jul 15 00:00:00 GMT-03:00 2016
8027b63bb13a91591677e335b68417c3f5378a88,2db5a3df,1f411961,Fri Jul 15 00:00:00 GMT-03:00 2016
