Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_4e28c-6d571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b696b-d6448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_022e3-f1a5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd89d-55701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4337a-c070f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a9381-5dda4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bdd6e-bc2c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d87f0-1a99a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ff195-df659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6e293-54f5c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_426c4-66926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_85426-5e2b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_bd62b-5a36b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_39fa8-02823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_377ee-bace8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_82282-a72a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d6e0b-d11c0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_4064e-63012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_28cac-ada28,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_84916-9f894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
