Merge,Parent1,Parent2,Date
1e83c24ae2b00dd094d60e06e68431ef0d723638,4e28ca78,6d5712b0,Fri Oct 05 00:00:00 GMT-03:00 2012
7674876f18870b30f536e55a4855de076b575741,f276bc74,5254a0cf,Wed Nov 28 00:00:00 GMT-03:00 2012
b696bcbb4ad9b917f67f03f3bf672f7eda809bff,954e03cd,d16ad2b5,Wed Nov 28 00:00:00 GMT-03:00 2012
dbe5af908c35f0f5056d1c3d7777296fbebfe899,b696bcbb,d6448615,Fri Nov 30 00:00:00 GMT-03:00 2012
3f12d8135084c7ee19beeaebdaa68637a12174a1,dbe5af90,f7e29f23,Tue Feb 19 00:00:00 GMT-03:00 2013
4af013402ad8520ae1125b81af862de57ad55bd8,c62e4bb1,f8451446,Thu Apr 11 00:00:00 GMT-03:00 2013
ad5bbecff76719c120aab3b444b86941e6e04ff9,4af01340,3a7117df,Tue Apr 23 00:00:00 GMT-03:00 2013
0615d6f1daf0bcf3d40eabcd27ba86a29c23aec3,ad5bbecf,5b78f2d5,Tue Jun 04 00:00:00 GMT-03:00 2013
226065c580f160c79a3fa314b7d4f6221b06b452,0615d6f1,a0692587,Fri Jun 21 00:00:00 GMT-03:00 2013
a18ab0c7bfd8543aaef902e39a8db5daea899ace,b7755363,c24b7f5a,Sun Oct 06 00:00:00 GMT-03:00 2013
022e37b93b0ab0e40143404dd977ad2d284f7ff7,a18ab0c7,d7b63493,Sat Jan 04 00:00:00 GMT-03:00 2014
c5428ac84f410d688aacd325e0de2b3999fbaeb3,022e37b9,f1a5ce49,Fri Jan 10 00:00:00 GMT-03:00 2014
ce0074d371976c30ff281c7ea40e44c3bda3257c,c5428ac8,f461ae5f,Mon Feb 24 00:00:00 GMT-03:00 2014
f0daae3efa0ea396287806d71fe7f9a1934280a0,ce0074d3,5ab5e1d8,Mon Mar 17 00:00:00 GMT-03:00 2014
f3b1bce013961bae5e7b03c5bc7c26ebb31236a5,f0daae3e,50cd0ac3,Fri Mar 28 00:00:00 GMT-03:00 2014
0998f908a47dd1718ba46ab7dae3758c2aee1640,f3b1bce0,a412ee91,Mon Mar 31 00:00:00 GMT-03:00 2014
5186842153423749e74dff5cbd3fcf721a409372,0998f908,d4c00175,Thu Apr 10 00:00:00 GMT-03:00 2014
86e499f327991b10ca593947a7c9e1156faa8b2e,51868421,53b2deef,Wed Apr 16 00:00:00 GMT-03:00 2014
cd89dc5eddd4e6e0a306c50e213a7f0851052935,86e499f3,aa0ef3ca,Fri Apr 18 00:00:00 GMT-03:00 2014
4337a3c84ab33d61681a3cd2a7c1ecf6ddeda8a7,cd89dc5e,55701a61,Sat Apr 19 00:00:00 GMT-03:00 2014
2256f4e21823f9b3616971903a53fb352ffedb9d,4337a3c8,c070f59b,Sat Apr 19 00:00:00 GMT-03:00 2014
a9381d46a71766517f5df21c00a57a3c3f4a0417,9f893e63,c5f79fb2,Mon May 12 00:00:00 GMT-03:00 2014
2e4a23bebbce280861453c0d6f6f0a3dfd0e6dde,a9381d46,5dda414f,Mon May 12 00:00:00 GMT-03:00 2014
0a081f7261addcf4208295ce2a293741a51d7f5d,2e4a23be,d22f0a81,Mon May 12 00:00:00 GMT-03:00 2014
bdd6e8b69ed7be4bdb99f412bce3bdd56740b237,0a081f72,985ea0d9,Mon May 12 00:00:00 GMT-03:00 2014
64301dc56eea885c192d896f6f9c266fbff5f8c8,bdd6e8b6,bc2c7d04,Mon May 12 00:00:00 GMT-03:00 2014
36f6ca92747f81d4bade4ca2cbd2ccd65892b008,64301dc5,11e0e493,Mon May 19 00:00:00 GMT-03:00 2014
abea1117bd2b3bdc6ae1f833652174f9d400273f,36f6ca92,03640abd,Mon May 19 00:00:00 GMT-03:00 2014
d87f02dfb380742e3a27374025cecbe0fdf84f68,abea1117,8f41ddb5,Mon May 19 00:00:00 GMT-03:00 2014
ff195129ec6e45449f583a049be3b5a1f9c56a20,d87f02df,1a99ae4a,Mon May 19 00:00:00 GMT-03:00 2014
5a95daa6620fcddac31880b4a3820f83cc8aa9bf,ff195129,df6591c3,Mon May 19 00:00:00 GMT-03:00 2014
587c5e036014ccb471aaf96ebfca3ade40953784,5a95daa6,5487f0f5,Mon May 19 00:00:00 GMT-03:00 2014
f7b1605b0250ed88d20acd07cb78cb51a949ae27,587c5e03,8818f72e,Tue May 20 00:00:00 GMT-03:00 2014
6e29302ea561282aabc7b725013e39351c04a703,f7b1605b,f12482bb,Tue May 20 00:00:00 GMT-03:00 2014
f8a1ede6598b9ab6266e038d537b9b54882f994a,6e29302e,54f5ccae,Tue May 20 00:00:00 GMT-03:00 2014
ec24dfc79c13e26fbe57bde2ff983cb668d7d345,f8a1ede6,02ca847d,Tue May 20 00:00:00 GMT-03:00 2014
98201b0ba2746bc4c1913acb77666070815605d0,ec24dfc7,21bea27d,Wed May 21 00:00:00 GMT-03:00 2014
0aef60a39243ad4e3aaff7bf75f62539aef0eba1,98201b0b,095d1bec,Wed May 21 00:00:00 GMT-03:00 2014
2d4ed723b169169dd7850a19956932e310180f88,0aef60a3,000e7004,Wed May 21 00:00:00 GMT-03:00 2014
d9f5092ab623c43f5f2c73b8f1c30f7dea91c771,2d4ed723,1a2a16c6,Thu May 22 00:00:00 GMT-03:00 2014
a9f83eaf5a173630e27c6ea0f86a3cc0a6b5bb55,d9f5092a,c03c7ae1,Thu May 22 00:00:00 GMT-03:00 2014
6a9ddc00428b9bb09bb1bb51abccf46d81b39ad7,426c4db1,66926570,Wed Jun 04 00:00:00 GMT-03:00 2014
ac2ee8770d64b18ba2c7a7c17e766770b1bd6e0c,6fabcd89,8155b724,Sun Jun 29 00:00:00 GMT-03:00 2014
b37244be8a7ea542ca557e9df8e17866cc0151ed,ac2ee877,860b5c98,Mon Jun 30 00:00:00 GMT-03:00 2014
1fa3c98407e302701406d6766e8976b19c1e9453,b37244be,aef60103,Tue Jul 01 00:00:00 GMT-03:00 2014
85426f79d5af57b5e6f0f3018be89cab8e0a7da0,1fa3c984,99543b76,Tue Jul 08 00:00:00 GMT-03:00 2014
