Merge,Parent1,Parent2,Date
875efe71e2413e187010df6bcb8a621950e956f0,bea98002,99839e76,Wed Mar 19 00:00:00 GMT-03:00 2014
eafc60979b09cbed3c1fd65e160a6911e7b8e636,d6ff1d9b,43167804,Thu Mar 27 00:00:00 GMT-03:00 2014
f64945203d74268f181652b89be9a6255f6db172,5e5cb290,ec603dab,Thu Apr 09 00:00:00 GMT-03:00 2015
f6dfb5e01faada2fb769c13af17df4f129180fbd,e21195cc,07715fb1,Sat Apr 11 00:00:00 GMT-03:00 2015
174f99ad389464be6c9999d3fec79798e38e68f9,f6dfb5e0,bf4dcdf5,Sat Apr 11 00:00:00 GMT-03:00 2015
af281d05f1fb4c29144d186f96aefe8246ceea80,174f99ad,080e3db8,Sun Apr 12 00:00:00 GMT-03:00 2015
9fffcfef9cfafdb202507e4c86728cff63c941a4,af281d05,42f9835c,Sun Apr 12 00:00:00 GMT-03:00 2015
98dd670986c0302abdec2a08a4d6a0e5bd03a66a,9fffcfef,1ad21b57,Sun Apr 12 00:00:00 GMT-03:00 2015
ca9e1bb636e1af2c886b78ed7c4bf0b76eb6ed1c,98dd6709,aa2483ff,Mon Apr 13 00:00:00 GMT-03:00 2015
c5a2e0b87768dce580c25d731c6800f049debdd5,ca9e1bb6,9a2ff87c,Tue Apr 14 00:00:00 GMT-03:00 2015
d7ff5cf5d588c5193746aef8c04f5a20d8f7b32d,c5a2e0b8,46bcf6c0,Tue Apr 14 00:00:00 GMT-03:00 2015
569881b96fc529404464aeef4c8d4d0d3e353939,d7ff5cf5,4c9ab2dd,Tue Apr 14 00:00:00 GMT-03:00 2015
8c778d70a9e7dfc01394c78b54eae991a63ed470,569881b9,29863e17,Tue Apr 14 00:00:00 GMT-03:00 2015
651a69b8531a73d7743f7e5fd955bd8e46a6e34b,8c778d70,e5ab178c,Tue Apr 14 00:00:00 GMT-03:00 2015
5e881ac2b42af6d3a993cef7d4278269002b4f92,651a69b8,1f8ac916,Wed Apr 15 00:00:00 GMT-03:00 2015
b65b1c61ee7533770b573071634c113a05b05696,5e881ac2,eb0a11a2,Thu Apr 16 00:00:00 GMT-03:00 2015
1ff583cd6c91c5fc821ba5cb3ab866d6c3b1a08b,b65b1c61,9d8b1faf,Thu Apr 16 00:00:00 GMT-03:00 2015
7ecc0bb867b02ec006a88e8a6f2931d71e92026c,1ff583cd,ae1ba526,Thu Apr 16 00:00:00 GMT-03:00 2015
cd8f77a2df07bdfbd195b11c1434a8d1937b9821,7ecc0bb8,a8a6e289,Fri Apr 17 00:00:00 GMT-03:00 2015
63f5fc378571e1c27bdb7e9888a3087d667d2b02,cd8f77a2,bdc383e6,Fri Apr 17 00:00:00 GMT-03:00 2015
6654ed5cb6c7ef8507134f366d0b6ff733449535,63f5fc37,442de55d,Sat Apr 18 00:00:00 GMT-03:00 2015
42673aa3be87bf0019d4971784465aabb59c23b7,6654ed5c,6590e63f,Sat Apr 18 00:00:00 GMT-03:00 2015
476eb05e78e6b8d8323e1d81c76bde2d843b5f76,42673aa3,779e4278,Sat Apr 18 00:00:00 GMT-03:00 2015
9b1ff8b29b3c2eb09083b3b0dad7c4d44876dffb,476eb05e,54644f7b,Sun Apr 19 00:00:00 GMT-03:00 2015
4f390432a81a03631e796f9a3c25863e1cbf633b,9b1ff8b2,1d8e3a9b,Sun Apr 19 00:00:00 GMT-03:00 2015
0e3699a28f841cefcd2e4878cca52a610122a681,4f390432,29fdf65a,Sun Apr 19 00:00:00 GMT-03:00 2015
06155b33d63d98cf95ac03fc92009e19924362e7,0e3699a2,f8b8de81,Sun Apr 19 00:00:00 GMT-03:00 2015
72c9d7fc6496278874fd924ad0d5b32e3f5490bc,06155b33,ab169c1b,Sun Apr 19 00:00:00 GMT-03:00 2015
1f7a07409401bf573dfc08ad77dfcbf9252103de,72c9d7fc,eeb0b3ef,Tue Apr 21 00:00:00 GMT-03:00 2015
d9060471d71062e2ef336d90d60e7eb93c455add,1f7a0740,19df9ade,Wed Apr 22 00:00:00 GMT-03:00 2015
b6657e5bee33cf278d7b4a1512434cb3bb94e2cd,d9060471,6f8dc06f,Wed Apr 22 00:00:00 GMT-03:00 2015
5717f2adf2b9e2700d057aa4b1148813849d3d03,b6657e5b,e85c26da,Wed Apr 22 00:00:00 GMT-03:00 2015
95307732f493fcc90fbf002db3272058fb613c6b,5717f2ad,3b12559f,Wed Apr 22 00:00:00 GMT-03:00 2015
57afd94ebe86fda3053352886a3e5942e3d66dcb,95307732,a2bd31d0,Wed Apr 22 00:00:00 GMT-03:00 2015
8fa75e000aeb9ed379ec5cde43362d9ec5429472,57afd94e,fa05e3ef,Thu Apr 23 00:00:00 GMT-03:00 2015
1fb3e680a7b6eb4c3b1bd904d37bb5389cee9153,8fa75e00,62305d3f,Sat Apr 25 00:00:00 GMT-03:00 2015
a83a5e031f996398509cd64180832a8ffc966b36,1fb3e680,3f6f9d88,Sat Apr 25 00:00:00 GMT-03:00 2015
4e29b5e0945537d0cc5001475d460311b121c3e4,8896da4b,3f6f9d88,Sun Apr 26 00:00:00 GMT-03:00 2015
1d08c1779c46cea1252ae6edc468da40597ee96d,a83a5e03,db3e73d7,Wed Apr 29 00:00:00 GMT-03:00 2015
29c64883c3bd5907ead5aeab8d1690679b0934d3,1d08c177,a6f504ba,Wed Apr 29 00:00:00 GMT-03:00 2015
099d7a57736c45bce5f3bc4ef591ed4884bb56b9,29c64883,0b56d79f,Wed Apr 29 00:00:00 GMT-03:00 2015
c3693244ad4eb1e4770ed91c7a0cbb21fda0cd4b,099d7a57,d3f33263,Wed Apr 29 00:00:00 GMT-03:00 2015
053c7b7ba8b4cc7ad32b27ddf9f3e97d5c256edb,c3693244,2a8300de,Wed Apr 29 00:00:00 GMT-03:00 2015
f3c126f0e1454f1badde5be58cdff793b3ff1cdc,053c7b7b,8ea3e356,Thu Apr 30 00:00:00 GMT-03:00 2015
89d8695667f07769c325c32cc615f224879ab11b,cd7ef90d,2791a836,Thu Apr 30 00:00:00 GMT-03:00 2015
f340df3d4e3df902bdebddf7fe4fbad9df8dc776,89d86956,e8321f5d,Fri May 01 00:00:00 GMT-03:00 2015
1a4f1866eb093830deb3480c05be18af0d8635fc,f340df3d,6f8561be,Fri May 01 00:00:00 GMT-03:00 2015
