Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_9338e-21eca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad66d-ce988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9bba0-3084a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b9eeb-aefd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ac4cd-4d023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef4cf-bf8e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4a4b5-fb693,1,1,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,0
rev_bd1e2-4acbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_372cc-ba052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_46e10-0b4fa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_35068-e7083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cb842-9a524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_07bcb-4f53b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_057b3-ac516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0c3ff-91ed6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9a15-1bdff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9a15-2b46b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5d9fd-a5a9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_09082-a722f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_31ff4-6cade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_af809-7e8a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0e981-4fc89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d5a97-af072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_0c3ff-757cc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_98e2b-1bdff,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_c383e-2801d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_44293-762a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_22c39-3efa7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8fe96-38a12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_474f7-b043a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c143f-159ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c1e72-93380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2873-7cb4e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f7950-32ba1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_da2f0-99e12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a03f6-4abdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c8014-16377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1fbfc-93c4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_74fdd-42a26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_04ade-c07b3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3abb9-66692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a08d8-66692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d5f34-dbebc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_feb60-81e6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4a0e9-5f6f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7fbe1-259f0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_928f9-5883e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b1650-c146e,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
rev_b21e2-db019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_baeb9-eb89d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eb89d-2f89c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_eb89d-074d7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_14740-1db94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_42a30-bc666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3a9c1-eb3c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8ffc1-49786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6b9d2-74962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_05a1f-59056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_56e0c-afd16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7d7eb-90e14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5f9e1-165e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cfde3-15521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_84b04-5d365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ce549-2a8e1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_ca072-83c27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5413-19474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b5413-61c28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d8f97-89c6e,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
rev_d8f97-b7f3c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2400f-7628d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_37cb4-6b179,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_37cb4-8730e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_448e5-f89a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_50755-70089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_22891-e56b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_2189a-14910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fdf39-ebc61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65fe2-862ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ebc61-1987c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1b886-e3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7ca4e-c2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e919b-e4af0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4f76d-0dc26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_93e70-6d78d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c2362-76076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_11904-e6455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ef325-50247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c175e-79152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_aa01e-65046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_65046-e9341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e9341-79522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_76729-221c1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_221c1-c93a8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_74110-39539,1,1,0,0,1,2,3,0,0,0,1,0,0,0,0,0,0,0
rev_25df6-0f4d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4a2c0-5f34a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c3183-0c359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_39c3c-c80f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ec7c5-bc828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5a932-9903f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f02f4-9e1b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_6f5b9-a7e30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e5db5-26608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c701f-adf54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_c7d1e-00375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
