Merge,Parent1,Parent2,Date
23f6bb8d32859520d11dcb5071a2d140280434e3,9338e13,21eca68,Fri Aug 09 00:00:00 GMT-03:00 2013
3084aefe5e5ead3b07cc3d3fd1dd2265ba063873,ad66d33,ce988d2,Tue Aug 20 00:00:00 GMT-03:00 2013
6748fb6bdd142c5e7cbb906bc31fe4849ba75209,9bba0b2,3084aef,Wed Aug 21 00:00:00 GMT-03:00 2013
e06b0c1a991df0cd2de5888d9628f6f600466ac0,b9eeb88,aefd056,Wed Sep 04 00:00:00 GMT-03:00 2013
bf8e4fe9dc03c7e27af3941fd93cc0979ff036be,ac4cd39,4d023b3,Wed Sep 04 00:00:00 GMT-03:00 2013
363fd38ccb5c0192541c09811c4f05c86b8f57d5,ef4cf49,bf8e4fe,Fri Sep 06 00:00:00 GMT-03:00 2013
a2fba8caa2684e3b2915c8c73577f5db2f9b7c01,4a4b570,fb693a4,Mon Sep 09 00:00:00 GMT-03:00 2013
372cc0ad06dac547eb91414c7804123b1d8d3787,bd1e2dc,4acbc19,Mon Sep 23 00:00:00 GMT-03:00 2013
46e1094f10f6c4dea0592bbe511ecab00f7091ae,372cc0a,ba05227,Sat Sep 28 00:00:00 GMT-03:00 2013
e40b48e77b508024661ea1ddda98f8aabf8d4f85,46e1094,0b4fadc,Wed Nov 06 00:00:00 GMT-03:00 2013
fd23cb6dc08195f52f2d0dfeb493205d79e0c4cf,3506802,e7083dc,Thu Nov 28 00:00:00 GMT-03:00 2013
4f53b07e47a6f36aa69be82601366499bffd31e9,cb84220,9a524aa,Wed Nov 27 00:00:00 GMT-03:00 2013
aaa53f58c7cb6ee3600a831025dd2a8636b21f65,07bcb06,4f53b07,Thu Nov 28 00:00:00 GMT-03:00 2013
7c41bec92f0a42da71d383568f8b3229ce2e5eb8,057b3a5,ac516f9,Tue Dec 03 00:00:00 GMT-03:00 2013
1bdffc1e5619f5855f0192a8f8b11f0ae2433d14,0c3ff3d,91ed66e,Sat Dec 21 00:00:00 GMT-03:00 2013
2a8e1b654d3bf3d1ca3d05403bcd8fd0c7f3396f,d9a15ad,1bdffc1,Sat Dec 21 00:00:00 GMT-03:00 2013
5d9fda0614d5bee4a575c576775a9a8bcfad9290,d9a15ad,2b46b11,Fri Dec 20 00:00:00 GMT-03:00 2013
090827f124af3a8c385e040495cfc72dbfa90163,5d9fda0,a5a9b14,Thu Dec 26 00:00:00 GMT-03:00 2013
31ff4cc404fd86373a3030d8db4d54ca52473800,090827f,a722f9b,Wed Jan 08 00:00:00 GMT-03:00 2014
7e8a5c7dd2d186f9fd95443d85d86d50ea23bf1f,31ff4cc,6cade5d,Tue Jan 21 00:00:00 GMT-03:00 2014
362fdd066278dfc631cc5821cec87fcbea5f31cb,af809c4,7e8a5c7,Tue Feb 11 00:00:00 GMT-03:00 2014
19843c063b82afcd0d0d930cf73504516a1780ac,0e98183,4fc8948,Mon Feb 17 00:00:00 GMT-03:00 2014
66d4d3c192def98672d188b54f3be2764bc64c89,d5a978e,af07280,Thu Mar 13 00:00:00 GMT-03:00 2014
98e2bba0994b1a0f5a6a62ed7be8615108772bff,0c3ff3d,757cc9b,Thu Mar 13 00:00:00 GMT-03:00 2014
4f68368db0d482d6fce2a005da8b11a1144a0e11,98e2bba,1bdffc1,Thu Mar 13 00:00:00 GMT-03:00 2014
39898d6ea7222121441213ddb9bf3951a705a1b5,c383ed7,2801daf,Thu Mar 13 00:00:00 GMT-03:00 2014
3efa774191c1cbccf440c1330576e688c2213393,44293cd,762a397,Fri Apr 04 00:00:00 GMT-03:00 2014
f9b157951db5b714b9746d1832dcbe4a31c94eee,22c394e,3efa774,Fri Apr 04 00:00:00 GMT-03:00 2014
474f785dab083a147c2aa28407282f43d13e0887,8fe967b,38a12f8,Fri Apr 04 00:00:00 GMT-03:00 2014
2b2ce9ce132152e459d2995347308b0735cf6dba,474f785,b043ac7,Sat Apr 05 00:00:00 GMT-03:00 2014
1090d070d97fd317641eaf3a8293481787810419,c143fc6,159eeea,Sat Apr 05 00:00:00 GMT-03:00 2014
7cb4e37812dfe39bcd2b1487b7094b6629949a0c,c1e7207,9338001,Mon Apr 07 00:00:00 GMT-03:00 2014
c6c56ad511df4112c096e2b6182a7140e2ebd075,c287392,7cb4e37,Wed Apr 09 00:00:00 GMT-03:00 2014
da2f023c12c0fd35c716ce38a9fbc5d48e7a7c6b,f7950eb,32ba1b8,Sun Apr 13 00:00:00 GMT-03:00 2014
cc9d319fd9af973f15fcbb849cc261be6c040123,da2f023,99e12aa,Sun Apr 13 00:00:00 GMT-03:00 2014
74fdd1df1b20885285294c2f52ecb4e2166a7e91,a03f6a8,4abdff5,Tue Apr 15 00:00:00 GMT-03:00 2014
93c4a2afb79660b4d8db4d955a0dcabbf5a2dcaa,c8014a9,163773a,Wed Apr 16 00:00:00 GMT-03:00 2014
bc8d0220eb49cc5c31cfa1d95e4df1b9b029b2e1,1fbfc92,93c4a2a,Wed Apr 16 00:00:00 GMT-03:00 2014
04ade75606fd473f6c39be753073800e365c9c40,74fdd1d,42a2676,Sun Apr 27 00:00:00 GMT-03:00 2014
ebaefb93ce871b97565eb410c4d53c40b37ddca3,04ade75,c07b32c,Sun Apr 27 00:00:00 GMT-03:00 2014
24e26c56449b45234ae69c370b159027c87d581b,3abb912,66692b2,Sun Apr 27 00:00:00 GMT-03:00 2014
5c00e59939a158103ceccc676dbd02ffb4beaf3a,a08d8cb,66692b2,Sun Apr 27 00:00:00 GMT-03:00 2014
feb604da87826200d038430b8e0d379846763ead,d5f34a4,dbebcbe,Sat May 03 00:00:00 GMT-03:00 2014
182dd51689b9c387f245811ad1fed4395f469b29,feb604d,81e6e77,Sat May 03 00:00:00 GMT-03:00 2014
b21e20fe425ebcffc655a065eaa12d0052db46ef,4a0e912,5f6f489,Sat May 03 00:00:00 GMT-03:00 2014
4e65dac2497da61f9bce9a7be894fe1f2f0ff0b5,7fbe18b,259f0a1,Tue May 06 00:00:00 GMT-03:00 2014
2913da47637694b5d56bc3773caca473707b6aba,928f98d,5883ed9,Thu May 08 00:00:00 GMT-03:00 2014
e310139d0075fc22ec1f423165eb452136594458,b165090,c146e2c,Wed May 28 00:00:00 GMT-03:00 2014
8c33be48a60f1646b39e69f373164ead36e5ba8b,b21e20f,db0195b,Wed Jun 04 00:00:00 GMT-03:00 2014
435922f00d950109dbc281f93ff82fd49a73b6eb,baeb919,eb89d66,Wed Jun 04 00:00:00 GMT-03:00 2014
074d767f455046a4082020c731d06ed2573a1fb2,eb89d66,2f89cfc,Mon Jun 09 00:00:00 GMT-03:00 2014
b75e64a61b4fb437d8dc9b58c3385889383bcb4e,eb89d66,074d767,Mon Jun 09 00:00:00 GMT-03:00 2014
689e89a9b27c24b74ae2c17accdca59c4cae410f,147401c,1db940a,Fri Sep 12 00:00:00 GMT-03:00 2014
3a9c1d30026f893c07f37790ed105f79c094af98,42a3007,bc666e9,Fri Sep 12 00:00:00 GMT-03:00 2014
20422f1b632d71c0e890d736860d3f7726465c50,3a9c1d3,eb3c78b,Mon Sep 29 00:00:00 GMT-03:00 2014
6b9d21fcf3e313cd78507d9a532d2c85adbe3cf4,8ffc1a7,4978665,Thu Jan 22 00:00:00 GMT-03:00 2015
05a1f3956936910d8d5d82001d8976cc4576c3aa,6b9d21f,74962d6,Wed Feb 18 00:00:00 GMT-03:00 2015
b30ca6ce1e7af0422cd8c42b2e749adee944afe0,05a1f39,590561a,Mon Mar 09 00:00:00 GMT-03:00 2015
7d7eb033d30327978885f689f7b958f17a324948,56e0cd5,afd1617,Tue Nov 17 00:00:00 GMT-03:00 2015
5f9e1a96f291fe1bdbe0ebfbdfe26992c55c867d,7d7eb03,90e14b3,Tue Nov 17 00:00:00 GMT-03:00 2015
cfde3b7657d208a80625b61b430bef11889ecc0e,5f9e1a9,165e5a7,Wed Dec 02 00:00:00 GMT-03:00 2015
84b046e4c962841b725cb1be6165f40c549e2ef8,cfde3b7,1552152,Sat Jan 16 00:00:00 GMT-03:00 2016
9d0eeb900020ac3a507cf871a3c8c9a31fdec6fc,84b046e,5d365f7,Sat Jan 16 00:00:00 GMT-03:00 2016
0fd4623f0a8fa3ce328bf1d2702ccc297053c723,ce5495e,2a8e1b6,Thu Jan 21 00:00:00 GMT-03:00 2016
a8e6de4b900f1237426e441f279303a51aec311f,cd08b23,4efd471,Fri Jan 22 00:00:00 GMT-03:00 2016
a8c90053812635878949c2d18c913daab75497f9,ca072c5,83c27eb,Sun May 08 00:00:00 GMT-03:00 2016
b871b210c52c86fd297bf2ab4edfb362a56ccfdd,b541336,19474e4,Sun May 08 00:00:00 GMT-03:00 2016
25821c3c06b5ee6e0cdc0262bca73435a4376620,b541336,61c28a0,Sun May 08 00:00:00 GMT-03:00 2016
b7f3c4bba0bafb703221526062428cb17f86cf5b,d8f978f,89c6e52,Sun May 08 00:00:00 GMT-03:00 2016
9de64ea0f25d33b71e4778332d31b051a708299a,d8f978f,b7f3c4b,Sun May 08 00:00:00 GMT-03:00 2016
37cb43b667b1896d01c3e5c3d6ab6929aa6fe61a,2400ff7,7628dc6,Sun May 08 00:00:00 GMT-03:00 2016
8730e3e97a1f3711a5e6ab286db27171c931f109,37cb43b,6b179c3,Sun May 08 00:00:00 GMT-03:00 2016
3a6e24635094443542d62163e39700b9a6371718,37cb43b,8730e3e,Sun May 08 00:00:00 GMT-03:00 2016
e22d6426fc5d7aa523945b1bcabf8ad8c4a46054,448e528,f89a6a6,Thu Aug 18 00:00:00 GMT-03:00 2016
228911b58c91c8b6f4b7adfc09e3c28438819817,507556d,700898f,Sat Nov 19 00:00:00 GMT-03:00 2016
1491033534dd2320668985c1a91f050b7026038f,228911b,e56b8c3,Sat Nov 19 00:00:00 GMT-03:00 2016
cfed860fb9d7519170d7166c81527d9625d758e8,2189aab,1491033,Tue Nov 22 00:00:00 GMT-03:00 2016
65fe2c44878a97a66e2f83b5fb2896cf12f3e8ac,fdf39eb,ebc6136,Fri Dec 02 00:00:00 GMT-03:00 2016
1987cd3ae1a5d6198b9d0c675bb7a1d50c4ef41e,65fe2c4,862ceee,Fri Dec 02 00:00:00 GMT-03:00 2016
f8a2328ead78f4bc3d6c711e02aee993566a4065,ebc6136,1987cd3,Fri Dec 02 00:00:00 GMT-03:00 2016
6d78d51fc0e0e7cbd4e3de08e396092523be8055,1b886d4,e3131af,Tue Dec 27 00:00:00 GMT-03:00 2016
e919bbd85892e3d9dc4d3f00c574ab27ca7e3f94,7ca4ed0,c23627b,Tue Jan 17 00:00:00 GMT-03:00 2017
4f76d62d4f7e1d7a72deee7eb79f62c56aefa030,e919bbd,e4af05a,Wed Jan 18 00:00:00 GMT-03:00 2017
93e7040fe56f4fa7d620a28e47038c6d20825898,4f76d62,0dc26c8,Sat Jan 21 00:00:00 GMT-03:00 2017
f29a10472f00bb607c49d8fb6bdb1ceb12688d1f,93e7040,6d78d51,Sat Jan 21 00:00:00 GMT-03:00 2017
1f85674ae169ca46563718329470792241021702,c23627b,76076e5,Sun Jan 22 00:00:00 GMT-03:00 2017
50247f9bc66f3cfa1485417ed2fcc894bb1dd8d6,11904a4,e645524,Mon Mar 06 00:00:00 GMT-03:00 2017
a2e7f0004bf58d6a581f11e1044dca7b463c9c99,ef32571,50247f9,Sat Mar 11 00:00:00 GMT-03:00 2017
676758349fa7ac829e75b122d610cd0da8daf63e,c175ea8,791520e,Fri Mar 17 00:00:00 GMT-03:00 2017
11c32669b23cc404be2ca2be0dd1dc112c420520,aa01e27,650468c,Fri Mar 17 00:00:00 GMT-03:00 2017
76729c9302ea3c28bc05334b36f011dc94c7aa68,650468c,e9341d0,Fri Mar 17 00:00:00 GMT-03:00 2017
d6b4e98a66d3a4d21e50160f8424463dfe95fb98,e9341d0,79522f9,Sat Mar 18 00:00:00 GMT-03:00 2017
5824e9515b2b6113104894da7d269e4381b9bb85,76729c9,221c155,Wed Mar 29 00:00:00 GMT-03:00 2017
25df6650d92dea65016ed49a675421305d90c41c,221c155,c93a8a2,Mon Apr 03 00:00:00 GMT-03:00 2017
fe95a6842f791f03cdac9032c6ccf18f444a3dc0,74110e6,395396c,Sat Apr 08 00:00:00 GMT-03:00 2017
6ead04a758df9a5735d41d5615d5cb8c7fd8a8be,25df665,0f4d6e8,Sat Apr 08 00:00:00 GMT-03:00 2017
0cd2f6031ace0864b8d7690cb010bfe890444385,4a2c0f4,5f34adf,Mon Apr 10 00:00:00 GMT-03:00 2017
39c3c2f90454664735c0751d84683bacbe97b937,c318325,0c359a2,Wed May 03 00:00:00 GMT-03:00 2017
975adf7072a8fb2a9d3134e7688c839cd3938d4d,39c3c2f,c80f25e,Wed May 03 00:00:00 GMT-03:00 2017
9903f0367d0c3370f3d9544d84591e851d21d8e4,ec7c521,bc828e1,Mon May 29 00:00:00 GMT-03:00 2017
3c653d941a25a018efecfcc9cefbd9a58c39a24b,5a9328c,9903f03,Mon May 29 00:00:00 GMT-03:00 2017
b6b991a09b622af654930650a414d237b9ece401,f02f469,9e1b7ed,Sat Jun 03 00:00:00 GMT-03:00 2017
60b62ca12c98f6970d1deb4f9e61bb6497b2f505,6f5b9e4,a7e3090,Sun Jul 30 00:00:00 GMT-03:00 2017
b0bf1a9ef246a43ec9a740b9ecd3e48289d92474,e5db538,266083f,Thu Nov 30 00:00:00 GMT-03:00 2017
0037529c8716aa36daa66174f08911c99aeb3fea,c701fe8,adf5454,Sat Dec 02 00:00:00 GMT-03:00 2017
fe80950ee93126665faaf958f306e983615be322,c7d1ed7,0037529,Sat Dec 02 00:00:00 GMT-03:00 2017
