Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_09bb3-ade5e,1,1,0,0,1,1,1,0,0,0,2,1,0,0,1,0,0,0
rev_b57e6-a1ddc,1,1,0,0,1,5,5,1,0,0,2,1,0,0,0,0,0,0
rev_edc57-36c81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9bf88-4fae4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_1547d-4fae4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_402c8-603dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_da02e-603dc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_51c5f-bf1d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c4cbf-7bb26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f525a-7bb26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a5416-3694b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_34c74-e3888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_86c7e-655bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_592e0-1d2a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_235c4-0badf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_96d9e-6d8e4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_8caad-e7e90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
