Merge,Parent1,Parent2,Date
7b7904945bf891c04f5053f26f7f2b1f0976e735,edc577c6,36c8164e,Wed Apr 03 00:00:00 GMT-03:00 2013
5a4b698ea726d108aae4362fb21a282852c599ec,93e41d9f,7b790494,Fri Apr 05 00:00:00 GMT-03:00 2013
896fb0ba89e6979bedf9a818ce076a09c452710b,7b790494,298f6902,Tue Apr 09 00:00:00 GMT-03:00 2013
da02e681cebe448d943684f2e299488601479624,9bf886cd,4fae4507,Tue Apr 09 00:00:00 GMT-03:00 2013
9f291a7952dc6b46306998df538b93458135d76f,1547df66,4fae4507,Tue Apr 09 00:00:00 GMT-03:00 2013
f525a616e30d8e19d9a1e0e7766715323b91f08a,402c853a,603dc415,Thu Apr 11 00:00:00 GMT-03:00 2013
c4cbf96c8d9d1accccd2c3f510a3aaaa5945440d,da02e681,603dc415,Thu Apr 11 00:00:00 GMT-03:00 2013
37b53129c750425c8af87709a8cea11741676e48,51c5f901,bf1d43c8,Thu Apr 18 00:00:00 GMT-03:00 2013
79d313683dc6c1bf68a9ef43c03090a659d2697b,c4cbf96c,7bb26265,Fri Apr 19 00:00:00 GMT-03:00 2013
a5416660f20e7254f88d41e1599c02a2da38a687,f525a616,7bb26265,Fri Apr 19 00:00:00 GMT-03:00 2013
e3888c96b081e560d89e198f113e28795fae425a,a5416660,3694b8f8,Mon Apr 22 00:00:00 GMT-03:00 2013
60ab53097612f4d5aadc911dcc932cb97c744460,34c74677,e3888c96,Mon Apr 22 00:00:00 GMT-03:00 2013
d24979947684a5aa3fe7f891c873fda8eb17d47b,3509e2bc,72316a46,Thu May 16 00:00:00 GMT-03:00 2013
b5590b8a6b0a06a0059c8d1be4e42c121c014d09,a4742d1c,b7680883,Thu May 23 00:00:00 GMT-03:00 2013
376809d2882c44da76de6e64d0c6ebef2369d3da,8220e8ff,490c08f8,Tue May 28 00:00:00 GMT-03:00 2013
1d2a9bf76a932245729ac897c07841452eb3c4bc,86c7edda,655bc85c,Thu May 30 00:00:00 GMT-03:00 2013
7d1588cb79761b665f8daccadcb763e81921b0f0,592e027e,1d2a9bf7,Wed Jun 05 00:00:00 GMT-03:00 2013
a7b5cecd4f6f7ea43a447cead10cf1d0a2e1ef37,21a49d0e,5ded70e3,Sun Jul 07 00:00:00 GMT-03:00 2013
235c435837dd0316b40bc1f145c6b0a04a3f7f68,a7b5cecd,b4ce0aec,Mon Jul 15 00:00:00 GMT-03:00 2013
96d9ebfd9b2051932f552b7f70a81c9622a8154d,235c4358,0badfd6b,Thu Jul 18 00:00:00 GMT-03:00 2013
921ea7207d238c4eb1444095b6ca26bc762a13d3,96d9ebfd,6d8e43a9,Mon Jul 22 00:00:00 GMT-03:00 2013
0081bd07b5878ef86bd636c77ad2153e6a68091b,8caad653,e7e907e5,Sun Jul 28 00:00:00 GMT-03:00 2013
