Merge_Scenario,has_merge_Conflict,has_build_conflict,has_integration_conflict,has_test_conflict,has_predictor,Methods_With_Conflicts,Conflicting_EditSameMC,Conflicting_EditSameMC_DS,Conflicting_EditSameFD,Conflicting_EditSameFD_DS,NonConflicting_EditSameMC,NonConflicting_EditSameMC_DS,NonConflicting_EditSameFD,NonConflicting_EditSameFD_DS,EditDiffMC,EditDifffMC_EditSameMC,EditDiffMC_EditionAddsMethodInvocation,EditDiffMC_EditionAddsMethodInvocation_EditSameMC
rev_c355b-39893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21a35-ab0b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e8025-5e26e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4e634-6aaba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_54e7c-bca5b,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
rev_5faa5-edbe2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_81031-ed240,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_c1209-fb6a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_54be7-2fae6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cc659-0961e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_64bab-a73d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_feba0-bbd59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_45c52-2e924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e9000-3ecbd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4ed5f-45dd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_556de-fe648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_21d05-29276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_86aa0-aac31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e9212-d26ba,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
rev_23cda-5f279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f6a54-771e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3715c-09cd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_3720d-bf845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_dd6b3-e2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_fdc74-932d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_61a1e-60fcc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_e23dc-d7aa8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_78716-2a458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_60735-1da54,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
rev_6b166-53f7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f0e65-09bed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
rev_4f890-1227a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_ad824-1209a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_890c6-2aaeb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_15c6a-3d6d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a0dea-1ea13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4c8a2-88712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_17147-55727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_f6680-f2e14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5cf8a-a57e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9a5df-49f23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_5285e-33f9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_03e92-5c0a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_02a08-51898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_48385-f00f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_50637-43713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_b9b87-7d2b7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_30fb4-46acd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_edd88-ca119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d308e-c2e79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_415da-a5e2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_4acf4-f421c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_db6a6-191fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_a5741-cb832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d9eb1-2bf64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c3418-0908b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_644ad-f20ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_c7541-91985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d471a-6a4e5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_d60d8-c5bd9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_cd003-55f54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_48a16-39a92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_7eb25-cb5bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_78eaf-a2568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_9f8dd-5be97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rev_27eae-8439a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
