Merge,Parent1,Parent2,Date
c355bc9301667f2f2fa6fd5aa3bc749e2745672e,99b0b6f3,9a6f0d41,Mon Aug 26 00:00:00 GMT-03:00 2013
38012a4f5c7ddff75698e102a13221a7c679f392,c355bc93,398935d7,Mon Aug 26 00:00:00 GMT-03:00 2013
b9815753977c6619783448c57b5718fd13c4ca07,38012a4f,1dad9ae0,Tue Aug 27 00:00:00 GMT-03:00 2013
3eae362c3e0661bae4cae592d2af08511049a610,b9815753,b1f07840,Tue Aug 27 00:00:00 GMT-03:00 2013
b53a7ed0c2bcef82cbf64d0142299f5f2e7ea0ec,a242de6d,398f6c4b,Mon Sep 02 00:00:00 GMT-03:00 2013
cceb0009e27209b1b6dd8243e9ea950a75870865,b53a7ed0,987fd40d,Tue Sep 03 00:00:00 GMT-03:00 2013
21a3545f346cd5f9698d1704cfce20f99746b55f,cceb0009,1fd93d15,Tue Sep 03 00:00:00 GMT-03:00 2013
c611c90a67b4c87829402e35160b3ba73e63bcaf,21a3545f,ab0b08bc,Tue Sep 03 00:00:00 GMT-03:00 2013
3acbf51f113d025f7c9be3d23ea4967af9b6b3c8,c611c90a,fca58533,Tue Sep 03 00:00:00 GMT-03:00 2013
443df88d73dc1a5501a6c6fc9db26e7e8e553dca,e23e33b4,81ab75c3,Tue Sep 03 00:00:00 GMT-03:00 2013
3d3bca0d62bc4f49ea0c4c4558cd7e6d32cbf6f7,3acbf51f,7bc8e08b,Wed Sep 04 00:00:00 GMT-03:00 2013
47e4004e6c7d50132393146d78acc4c57d485c1e,3d3bca0d,31d255fc,Wed Sep 04 00:00:00 GMT-03:00 2013
329ca31c06c3656e0be906e4f6dbe3028ba2fc81,47e4004e,1cb521f2,Thu Sep 05 00:00:00 GMT-03:00 2013
dec95060be791d2a35122f8fb5346906df6ac7bb,443df88d,6335a8bd,Fri Sep 06 00:00:00 GMT-03:00 2013
10c055397a3fee192f5b622697e8bff0f12d10ec,dec95060,240fdbdb,Fri Sep 06 00:00:00 GMT-03:00 2013
c3f8b18f96d44b5b0e981e94da0aa2b44f9f6288,10c05539,3b5603d9,Tue Sep 10 00:00:00 GMT-03:00 2013
836621cd70dbdb2e400c2a482f71e903c07bb996,329ca31c,dafb9405,Wed Sep 11 00:00:00 GMT-03:00 2013
a31f554d390f4d974cbcfc966cd51dfa5ace0450,836621cd,1bdc98c5,Wed Sep 11 00:00:00 GMT-03:00 2013
43e830245127a9e6487adac9b47c812badb5d0b8,c3f8b18f,2ea60501,Thu Sep 12 00:00:00 GMT-03:00 2013
